losses/entropy,_step,_timestamp,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,losses/value_loss,_runtime,global_step,losses/clipfrac,charts/learning_rate,losses/explained_variance,charts/SPS
,0,1763260102.3781607,,,,,,,24.472834825515747,0,,,,
0.6928048133850098,7,1763260104.2309985,,-0.002347918227314949,-0.004840346053242683,,0.0003313180059194565,88.70492553710938,26.32567262649536,128,0.0,0.0003000000142492354,0.005142807960510254,447.0
,33,1763260104.7937295,25.0,,,25.0,,,26.88840365409851,602,,,,
0.6819113492965698,41,1763260105.0509863,,-0.003161535831168294,-0.0035574734210968018,,0.000193912535905838,113.23367309570312,27.145660400390625,768,0.0,0.0002996159892063588,0.004781603813171387,694.0
,47,1763260105.2207558,22.0,,,22.0,,,27.31542992591858,947,,,,
,64,1763260105.8584788,35.0,,,35.0,,,27.953152894973755,1383,,,,
0.6018174290657043,74,1763260106.409371,,-0.0013565588742494583,-0.004368217661976814,,0.00027553923428058624,644.890869140625,28.504045009613037,1792,0.0,0.00029900154913775623,0.008227407932281494,727.0
,77,1763260106.4838622,32.0,,,32.0,,,28.57853627204895,1911,,,,
0.6499462127685547,88,1763260107.158253,,0.002223614603281021,-0.002075175754725933,,4.1200779378414154e-05,435.1367492675781,29.25292706489563,2432,0.0,0.00029861752409487963,-0.01806330680847168,756.0
,102,1763260107.78811,91.0,,,91.0,,,29.882784128189087,2983,,,,
,104,1763260107.9091742,154.0,,,154.0,,,30.00384831428528,3137,,,,
,133,1763260109.1890697,69.0,,,69.0,,,31.283743858337402,4368,,,,
,147,1763260109.8977273,52.0,,,52.0,,,31.992401361465454,5157,,,,
0.5394220352172852,149,1763260109.999986,,0.0010921768844127655,0.0006683329120278358,,6.6329725086689e-05,156.0644073486328,32.09466004371643,5248,0.0,0.0002969278139062226,0.009319186210632324,866.0
,150,1763260110.024982,128.0,,,128.0,,,32.11965608596802,5318,,,,
0.5831949710845947,155,1763260110.3460913,,-0.0006666705012321472,-0.001290818676352501,,0.000845637172460556,291.47613525390625,32.440765380859375,5632,0.0,0.0002966973988804966,-0.013594985008239746,879.0
