global_step,_step,losses/approx_kl,losses/explained_variance,losses/clipfrac,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,_runtime,charts/episodic_length,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,losses/entropy
0,0,,,,1763260102.3498225,,,,24.431469440460205,,,,,
128,7,0.000542227178812027,0.03706711530685425,0.0,1763260104.233118,62.79584884643555,-0.0032032839953899384,444.0,26.314764976501465,,0.0003000000142492354,,-0.0006347913295030594,0.6926606297492981
667,33,,,,1763260104.8456724,,,,26.927319288253784,52.0,,52.0,,
855,41,,,,1763260105.016373,,,,27.09801983833313,12.0,,12.0,,
984,47,,,,1763260105.2128131,,,,27.29446005821228,50.0,,50.0,,
1426,64,,,,1763260105.7777112,,,,27.859358072280884,53.0,,53.0,,
1889,74,,,,1763260106.168007,,,,28.249653816223145,30.0,,30.0,,
1956,77,,,,1763260106.2723796,,,,28.354026556015015,41.0,,41.0,,
2420,88,,,,1763260106.705535,,,,28.787181854248047,56.0,,56.0,,
3053,102,,,,1763260107.280914,,,,29.362560987472534,64.0,,64.0,,
3200,104,0.00015795975923538208,0.05967283248901367,0.0,1763260107.4698308,769.3377075195312,-0.0043718889355659485,907.0,29.551477670669556,,0.0002981566940434277,,0.003447597846388817,0.6111314296722412
5078,133,,,,1763260109.1319282,,,,31.2135751247406,109.0,,109.0,,
5740,147,,,,1763260109.71793,,,,31.799576997756958,62.0,,62.0,,
5760,149,0.00014100968837738037,0.024956822395324707,0.0,1763260109.7963867,104.53339385986328,-0.0022789835929870605,984.0,31.87803363800049,,0.0002966205938719213,,-0.0037714671343564987,0.5891560316085815
5883,150,,,,1763260109.859604,,,,31.941250801086426,126.0,,126.0,,
6144,155,8.712243288755417e-05,0.038122355937957764,0.0,1763260110.1631877,301.6535949707031,0.002133801579475403,988.0,32.244834661483765,,0.00029639017884619534,,-0.0018446547910571098,0.6357524991035461
6235,157,,,,1763260110.196698,,,,32.27834486961365,80.0,,80.0,,
7137,172,,,,1763260111.0230327,,,,33.104679584503174,51.0,,51.0,,
8441,195,,,,1763260112.2069607,,,,34.288607597351074,85.0,,85.0,,
8935,203,,,,1763260113.0156128,,,,35.097259759902954,136.0,,136.0,,
9344,213,0.00017947237938642502,0.010194063186645508,0.0,1763260113.5035741,100.55241394042969,-0.002619221806526184,977.0,35.5852210521698,,0.00029447005363181233,,-0.002904932014644146,0.5017650723457336
9620,217,,,,1763260113.764624,,,,35.84627103805542,147.0,,147.0,,
