global_step,_step,losses/approx_kl,losses/explained_variance,losses/clipfrac,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,_runtime,charts/episodic_length,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,losses/entropy
10240,228,3.009103238582611e-05,0.057494282722473145,0.0,1763260114.4281554,169.46981811523438,0.003194045275449753,976.0,36.50980234146118,,0.0002939324185717851,,-0.0003610122948884964,0.5515583157539368
10496,233,3.0168332159519196e-05,0.09978640079498291,0.0,1763260114.687879,164.65017700195312,-0.0026568472385406494,977.0,36.76952600479126,,0.00029377880855463445,,0.0017021754756569862,0.6207192540168762
11425,251,,,,1763260115.5667434,,,,37.64839029312134,88.0,,88.0,,
11897,259,,,,1763260115.9379425,,,,38.0195894241333,84.0,,84.0,,
12207,265,,,,1763260116.301385,,,,38.38303184509277,88.0,,88.0,,
12800,273,0.0011185640469193459,-0.021219372749328613,0.0,1763260116.8464243,506.20819091796875,-0.015471037477254868,992.0,38.92807126045227,,0.0002923963184002787,,0.015555142425000668,0.5490427017211914
12856,274,,,,1763260116.868771,,,,38.95041799545288,225.0,,225.0,,
14080,292,0.0011997995898127556,0.2767102122306824,0.0,1763260118.015869,316.1052551269531,0.01369607076048851,1000.0,40.09751582145691,,0.0002916282683145255,,-0.010476515628397465,0.5660914778709412
16192,327,,,,1763260119.9360507,,,,42.01769757270813,121.0,,121.0,,
16356,330,,,,1763260120.0614493,,,,42.14309620857239,103.0,,103.0,,
16512,332,0.0011429088190197945,0.21057915687561035,0.0,1763260120.2530773,379.3921203613281,0.0019282791763544083,1012.0,42.33472418785095,,0.0002901689731515944,,0.008873757906258106,0.5515831112861633
16768,337,9.940098971128464e-05,0.2297600507736206,0.0,1763260120.5281644,100.60740661621094,0.002988256514072418,1011.0,42.609811305999756,,0.00029001536313444376,,0.00017975177615880966,0.5583997964859009
16987,340,,,,1763260120.6712465,,,,42.75289344787598,170.0,,170.0,,
18816,370,2.875644713640213e-05,0.20561641454696655,0.0,1763260122.3862646,88.84292602539062,0.0005508288741111755,1020.0,44.4679114818573,,0.00028878648299723864,,0.0018564136698842049,0.5499616265296936
20352,396,3.098789602518082e-05,0.5865659713745117,0.0,1763260123.831945,83.62294006347656,0.00205351784825325,1023.0,45.91359186172485,,0.0002878648228943348,,0.00044393446296453476,0.5421766638755798
22389,425,,,,1763260125.6327155,,,,47.714362382888794,87.0,,87.0,,
23317,441,,,,1763260126.5455625,,,,48.627209424972534,94.0,,94.0,,
23816,450,,,,1763260127.0497663,,,,49.13141322135925,67.0,,67.0,,
25088,471,0.0005319938063621521,0.23388707637786865,0.0,1763260128.2246966,138.4816131591797,-0.0039038918912410736,1033.0,50.30634355545044,,0.00028502303757704794,,0.0021884776651859283,0.49563342332839966
25856,481,1.0483898222446442e-05,0.8943185806274414,0.0,1763260128.938969,75.96530151367188,-0.0003116391599178314,1034.0,51.02061581611633,,0.000284562207525596,,-0.0005672657862305641,0.5427252054214478
26496,490,1.555308699607849e-05,0.8184718489646912,0.0,1763260129.5002422,148.9543914794922,0.00033967941999435425,1036.0,51.581889152526855,,0.0002841781824827194,,-0.000609133392572403,0.543655514717102
27420,504,,,,1763260130.3444932,,,,52.42614006996155,203.0,,203.0,,
28203,515,,,,1763260131.058999,,,,53.14064598083496,148.0,,148.0,,
29312,530,9.627733379602432e-05,0.035621464252471924,0.0,1763260132.09118,164.5153045654297,0.0009907782077789307,1041.0,54.17282700538635,,0.0002824884722940624,,0.004498380236327648,0.5806403160095215
29952,539,0.0005952753126621246,0.8787698745727539,0.0,1763260132.654603,45.70534896850586,0.008444136008620262,1043.0,54.736249923706055,,0.0002821044472511858,,-0.004178391769528389,0.5972031354904175
30509,547,,,,1763260133.2665632,,,,55.34821009635925,166.0,,166.0,,
31005,555,,,,1763260133.875339,,,,55.95698595046997,59.0,,59.0,,
31232,559,3.011617809534073e-05,0.6442316174507141,0.0,1763260134.169201,134.1234130859375,-0.0005777627229690552,1033.0,56.250847816467285,,0.00028133639716543257,,-0.0011661751195788383,0.6184148788452148
31744,568,4.71482053399086e-05,0.5844877362251282,0.0,1763260134.7470357,120.51332092285156,-0.001691039651632309,1030.0,56.82868266105652,,0.0002810291771311313,,-0.0002945726737380028,0.5738523006439209
33418,595,,,,1763260136.3049867,,,,58.38663363456726,75.0,,75.0,,
34688,612,1.2438744306564331e-05,0.8810403347015381,0.0,1763260137.4691331,67.98262786865234,-8.537620306015015e-05,1034.0,59.550780057907104,,0.0002792626619338989,,-0.0009096376597881317,0.5192691087722778
34816,614,0.0013072062283754349,0.8375391960144043,0.0,1763260137.5799077,107.6520767211914,-0.00406733900308609,1035.0,59.66155457496643,,0.0002791858569253236,,-0.013067992404103279,0.5599844455718994
35840,630,0.0019175345078110695,0.9336613416671753,0.0,1763260138.5215485,55.690887451171875,0.006792813539505005,1036.0,60.60319542884827,,0.00027857141685672104,,-0.008459416218101978,0.4947419762611389
36224,636,0.0004778420552611351,0.6899516582489014,0.0,1763260138.8554904,62.35334396362305,0.0027661770582199097,1037.0,60.93713736534119,,0.0002783410018309951,,0.0016219811514019966,0.5068044662475586
36480,640,0.001177879050374031,0.5986777544021606,0.0,1763260139.0830228,149.9931640625,0.006125675514340401,1038.0,61.16466975212097,,0.00027818739181384444,,-0.0020852815359830856,0.5450795292854309
37248,650,1.0592862963676453e-05,0.4198600649833679,0.0,1763260139.7927077,212.45050048828125,-0.00024508126080036163,1039.0,61.87435460090637,,0.0002777265617623925,,-0.0004141293466091156,0.5715317726135254
38144,664,0.007120980881154537,0.9684359431266785,0.017578125,1763260140.62468,6.943660259246826,-0.035055581480264664,1039.0,62.706326961517334,,0.0002771889267023653,,-0.014890474267303944,0.5702645778656006
39536,684,,,,1763260141.8221762,,,,63.903823137283325,171.0,,171.0,,
39936,689,0.0006416430696845055,-1.0648727416992188,0.0,1763260142.2300577,331.43511962890625,-0.0018296577036380768,1043.0,64.31170463562012,,0.00027611368568614125,,0.0036004288122057915,0.5951030850410461
40576,698,1.9049271941184998e-05,0.9423253536224365,0.0,1763260142.8253467,18.058910369873047,-0.002107810229063034,1043.0,64.90699362754822,,0.00027572966064326465,,0.001327909529209137,0.48022931814193726
40884,702,,,,1763260143.0701284,,,,65.15177536010742,183.0,,183.0,,
41216,707,0.00010264106094837189,0.9850844144821167,0.0,1763260143.386863,3.635200023651123,0.0005571693181991577,1044.0,65.46850991249084,,0.00027534563560038805,,0.0009592697024345398,0.5423406362533569
42630,729,,,,1763260144.6809452,,,,66.76259207725525,144.0,,144.0,,
44868,757,,,,1763260146.6172814,,,,68.69892835617065,185.0,,185.0,,
45312,762,0.00015336088836193085,0.7093876600265503,0.0,1763260147.065072,93.16730499267578,-0.003916531801223755,1050.0,69.14671897888184,,0.0002728878753259778,,-0.003465510904788971,0.5823314189910889
45696,767,1.4930963516235352e-05,0.25577080249786377,0.0,1763260147.3972268,308.1469421386719,-0.0011851843446493149,1051.0,69.47887372970581,,0.00027265746030025184,,0.0010498054325580597,0.5722948908805847
46336,775,4.650373011827469e-05,0.9093171954154968,0.0,1763260148.0160165,35.26084899902344,-0.0005549564957618713,1051.0,70.09766340255737,,0.00027227343525737524,,0.0012453803792595863,0.5835977792739868
47515,788,,,,1763260149.0487497,,,,71.13039660453796,284.0,,284.0,,
48384,797,0.00600182730704546,0.9621458649635315,0.01171875,1763260149.8069916,25.39111328125,-0.009189411997795105,1054.0,71.88863849639893,,0.0002710445551201701,,0.012114214710891247,0.5797851085662842
49152,806,0.0033413218334317207,0.08225911855697632,0.0,1763260150.5027344,743.5057983398438,0.0038144029676914215,1055.0,72.5843813419342,,0.0002705837250687182,,-0.01818484254181385,0.5779778957366943
49870,815,,,,1763260151.1148007,,,,73.1964476108551,321.0,,321.0,,
53581,863,,,,1763260154.5945477,,,,76.67619466781616,84.0,,84.0,,
54272,872,0.00042456481605768204,0.10205817222595215,0.0,1763260155.285404,403.3514709472656,-0.005170172080397606,1057.0,77.36705088615417,,0.0002675115247257054,,0.004998973570764065,0.5727097392082214
54656,876,0.00015184096992015839,0.6502025127410889,0.0,1763260155.616703,145.7385711669922,0.004172787070274353,1057.0,77.69834995269775,,0.0002672811096999794,,-0.0030007008463144302,0.5860183835029602
58112,922,0.00013583526015281677,0.6241633296012878,0.0,1763260158.7516334,296.3387756347656,-0.0029066279530525208,1060.0,80.83328032493591,,0.0002652073744684458,,-3.1771138310432434e-05,0.527466356754303
58752,930,8.413847535848618e-05,-0.03532278537750244,0.0,1763260159.3096738,42.207855224609375,-0.0023912712931632996,1061.0,81.39132070541382,,0.0002648233494255692,,-0.0016958778724074364,0.5566661953926086
59392,938,0.001812957227230072,0.16341912746429443,0.001953125,1763260159.9047232,527.4215698242188,0.0018003955483436584,1061.0,81.98637008666992,,0.0002644393243826926,,0.010790275409817696,0.5394532680511475
59648,941,1.2855976819992065e-05,0.042539000511169434,0.0,1763260160.127978,49.52330017089844,0.0008609294891357422,1061.0,82.20962500572205,,0.00026428571436554193,,0.0006193444132804871,0.589224100112915
59776,942,1.3899989426136017e-05,-0.012948274612426758,0.0,1763260160.2377694,98.69488525390625,-0.0010775066912174225,1061.0,82.31941628456116,,0.0002642089093569666,,-0.002484324388206005,0.5215240120887756
60288,948,4.366971552371979e-06,0.5720297694206238,0.0,1763260160.7201607,50.815067291259766,0.000312022864818573,1061.0,82.80180764198303,,0.00026390168932266533,,0.00045853015035390854,0.5920538902282715
62848,974,0.00036103930324316025,0.9852408766746521,0.0,1763260163.0165956,23.93166160583496,-0.009675711393356323,1063.0,85.09824252128601,,0.00026236558915115893,,0.0022617941722273827,0.5296266078948975
63488,980,4.068110138177872e-05,0.5094594955444336,0.0,1763260163.5926464,15.00442123413086,0.00110611692070961,1064.0,85.67429327964783,,0.00026198156410828233,,0.0011578286066651344,0.5781351923942566
63872,985,0.0002776915207505226,0.9235325455665588,0.0,1763260163.9312098,47.248565673828125,-0.0004902556538581848,1064.0,86.01285672187805,,0.00026175114908255637,,0.0017334995791316032,0.5671810507774353
64640,995,8.13603401184082e-06,0.940188467502594,0.0,1763260164.6302626,13.115291595458984,0.0010275784879922867,1065.0,86.711909532547,,0.00026129031903110445,,0.00018688105046749115,0.5087039470672607
64784,997,,,,1763260164.7542913,,,,86.83593821525574,261.0,,261.0,,
66304,1015,0.0016651228070259094,-1.0172841548919678,0.001953125,1763260166.1198845,208.7789306640625,0.0026950091123580933,1066.0,88.20153141021729,,0.0002602918539196253,,-0.006775852292776108,0.5155594944953918
67584,1031,8.437503129243851e-05,0.6202141046524048,0.0,1763260167.2681596,291.9244384765625,-0.0026243776082992554,1067.0,89.34980654716492,,0.0002595238038338721,,-0.0008996454998850822,0.5043471455574036
69376,1050,6.266031414270401e-05,-0.2370365858078003,0.0,1763260168.892168,564.3682250976562,2.0138919353485107e-05,1068.0,90.97381496429443,,0.0002584485337138176,,-0.00038908515125513077,0.5310872793197632
69760,1053,0.0003421008586883545,0.6063264608383179,0.0,1763260169.223804,73.9205093383789,-0.0015664026141166687,1068.0,91.30545091629028,,0.00025821811868809164,,0.0012715738266706467,0.5683969259262085
70272,1058,0.00014086347073316574,-0.40235304832458496,0.0,1763260169.6649482,40.548797607421875,-0.0037593282759189606,1069.0,91.74659514427185,,0.00025791089865379035,,0.007134507410228252,0.5742026567459106
72376,1083,,,,1763260171.5668333,,,,93.64848017692566,218.0,,218.0,,
73216,1091,0.0005011912435293198,0.6808691024780273,0.0,1763260172.35475,27.88678741455078,0.002499893307685852,1070.0,94.4363968372345,,0.000256144383456558,,-0.003497036173939705,0.5804169774055481
74706,1106,,,,1763260173.6326451,,,,95.71429204940796,353.0,,353.0,,
75776,1118,3.767572343349457e-05,0.7118088006973267,0.0,1763260174.6377277,111.4461669921875,-0.005369480699300766,1071.0,96.71937465667725,,0.0002546082832850516,,0.0012698862701654434,0.5517156720161438
76416,1125,3.509223461151123e-06,0.560456395149231,0.0,1763260175.227724,498.4324951171875,-0.0003424994647502899,1072.0,97.30937099456787,,0.000254224258242175,,0.0008704327046871185,0.5228107571601868
77184,1133,0.0002991938963532448,0.20513129234313965,0.0,1763260175.8908598,18.21030616760254,0.001374565064907074,1072.0,97.9725067615509,,0.00025376342819072306,,-0.0022056130692362785,0.5810316801071167
78464,1145,0.0005840109661221504,0.7257789969444275,0.0,1763260177.0271246,6.1809821128845215,-0.00388219952583313,1073.0,99.1087715625763,,0.00025299537810496986,,0.000215199775993824,0.5658395290374756
80384,1164,3.251712769269943e-05,-0.9177771806716919,0.0,1763260178.7467113,11.591312408447266,-0.0012798458337783813,1074.0,100.82835817337036,,0.0002518433320801705,,0.0007367832586169243,0.5912888646125793
80512,1165,0.00043724291026592255,-0.1156841516494751,0.0,1763260178.8577008,1357.8875732421875,-0.0028014350682497025,1074.0,100.93934774398804,500.0,0.0002517665270715952,500.0,-0.0001642126590013504,0.6132352948188782
81260,1172,,,,1763260179.4808564,,,,101.56250333786011,500.0,,500.0,,
82031,1181,,,,1763260180.1466048,,,,102.22825169563293,156.0,,156.0,,
82235,1186,,,,1763260180.3953993,,,,102.477046251297,85.0,,85.0,,
83078,1197,,,,1763260181.1561227,,,,103.23776960372925,364.0,,364.0,,
84598,1213,,,,1763260182.4912536,,,,104.57290053367615,260.0,,260.0,,
84736,1215,1.3671815395355225e-06,0.2301539182662964,0.0,1763260182.671323,5.084776401519775,8.535385131835938e-05,1076.0,104.75296998023987,,0.0002492319617886096,,-0.00042665377259254456,0.6137135028839111
85760,1226,0.0007779421284794807,0.10997366905212402,0.0,1763260183.5944867,4.136549472808838,-0.00014068745076656342,1076.0,105.67613363265991,,0.00024861752172000706,,0.0069900015369057655,0.6332967281341553
86016,1230,2.551451325416565e-05,0.00911015272140503,0.0,1763260183.8171806,1304.7293701171875,0.0010006800293922424,1076.0,105.89882755279541,,0.0002484639117028564,,-0.0011646877974271774,0.5923696756362915
86400,1234,0.00025642290711402893,0.2453380823135376,0.0,1763260184.1487594,3.4445114135742188,-0.008203163743019104,1077.0,106.23040628433228,,0.00024823349667713046,,1.9704923033714294e-05,0.602601170539856
87296,1245,0.00029014889150857925,0.05346417427062988,0.0,1763260184.9624505,1467.2218017578125,-0.003937333822250366,1077.0,107.04409742355347,,0.0002476958616171032,,0.002451646141707897,0.5422465205192566
88097,1254,,,,1763260185.6759782,,,,107.75762510299683,500.0,,500.0,,
89472,1271,1.0740011930465698e-05,0.09375524520874023,0.0,1763260186.9405522,1627.1737060546875,-0.0004108548164367676,1078.0,109.02219915390015,,0.0002463901764713228,,-0.0012054070830345154,0.5317731499671936
92160,1299,0.0007649445906281471,0.020818591117858887,0.0,1763260189.3409324,1402.06298828125,0.001405954360961914,1079.0,111.42257928848267,,0.00024477727129124105,,0.013713006861507893,0.5456604361534119
96128,1339,8.61678272485733e-05,0.03643292188644409,0.0,1763260192.913351,268.9043273925781,0.0020494945347309113,1080.0,114.99499797821045,,0.00024239631602540612,,-4.416517913341522e-05,0.5485103130340576
96256,1340,0.0007056156173348427,-4.279430866241455,0.0,1763260193.0238607,5.703798294067383,-0.007015865296125412,1080.0,115.1055076122284,,0.0002423195110168308,,0.009712603874504566,0.5081371665000916
97024,1349,0.0014240173622965813,0.7382906675338745,0.0,1763260193.690556,1.9171392917633057,0.009660754352807999,1081.0,115.77220296859741,,0.00024185868096537888,,-0.009786178357899189,0.5942429900169373
98176,1363,0.000976821407675743,0.30247294902801514,0.0,1763260194.7294152,2.1146023273468018,-0.002254858613014221,1081.0,116.81106209754944,,0.000241167435888201,,-0.006141636520624161,0.5646810531616211
98340,1365,,,,1763260194.8519223,,,,116.93356919288635,500.0,,500.0,,
98840,1370,,,,1763260195.3265922,,,,117.40823912620544,500.0,,500.0,,
99968,1380,0.0004643350839614868,0.4971494674682617,0.0,1763260196.3499053,0.007533840835094452,-0.013019964098930359,1081.0,118.43155217170715,,0.00024009216576814651,,0.006288599222898483,0.5880334377288818
100096,1381,0.0009100930765271187,-0.6050328016281128,0.0,1763260196.4591374,0.005222223699092865,-0.0013265274465084076,1081.0,118.54078435897827,,0.0002400153607595712,,0.00010049063712358475,0.5836692452430725
100840,1388,,,,1763260197.0784616,,,,119.16010856628418,500.0,,500.0,,
101504,1395,0.00045498181134462357,-1.1241283416748047,0.0,1763260197.7054272,0.003818698227405548,-0.005102511495351791,1082.0,119.7870740890503,,0.00023917050566524267,,-0.0018136268481612206,0.5351663827896118
101888,1399,0.00034335907548666,0.0015177726745605469,0.0,1763260198.0677302,1672.301513671875,-0.0034058205783367157,1082.0,120.14937710762024,,0.0002389400906395167,,-0.004165180958807468,0.6274040937423706
102528,1405,0.0005474267527461052,-0.3255852460861206,0.0,1763260198.6271555,0.004102408420294523,0.003242477774620056,1082.0,120.70880246162415,,0.0002385560655966401,,0.0063408175483345985,0.5571904182434082
105340,1432,,,,1763260201.0537295,,,,123.13537645339966,500.0,,500.0,,
105344,1433,0.00013646576553583145,-0.0006046295166015625,0.0,1763260201.1245606,2256.53759765625,0.004185199737548828,1084.0,123.2062075138092,,0.00023686635540798306,,0.0033690063282847404,0.5926509499549866
107648,1455,0.001098940148949623,-0.18190228939056396,0.0,1763260203.1792152,0.001642088871449232,0.00026963651180267334,1084.0,125.26086211204529,,0.0002354838652536273,,0.0038395263254642487,0.5539658069610596
107776,1456,0.0034798160195350647,-2.674887180328369,0.01171875,1763260203.3126225,0.0005258343880996108,0.004783840849995613,1084.0,125.39426946640015,,0.00023540706024505198,,0.01107870601117611,0.5356842279434204
107840,1457,,,,1763260203.340017,,,,125.4216639995575,500.0,,500.0,,
113664,1514,0.0009524943307042122,-0.9509412050247192,0.0,1763260208.5804646,0.0034059835597872734,-0.0035427629482001066,1086.0,130.6621115207672,,0.00023187404440250248,,-3.80808487534523e-05,0.5151864886283875
114340,1521,,,,1763260209.148143,,,,131.2297899723053,500.0,,500.0,,
114816,1525,0.002315944992005825,-1.5000619888305664,0.0,1763260209.604109,0.0004980507073923945,-0.00665784627199173,1086.0,131.68575596809387,,0.0002311827993253246,,-0.0016632406041026115,0.5526981353759766
114944,1527,0.0005509890615940094,0.0005288124084472656,0.0,1763260209.7198892,698.6622314453125,-0.007654450833797455,1086.0,131.80153608322144,,0.00023110599431674927,,0.008841246366500854,0.5142067670822144
115200,1529,0.00419196393340826,-0.2914566993713379,0.01171875,1763260209.9400692,0.0024583975318819284,-0.015278697945177555,1086.0,132.0217161178589,,0.00023095238429959863,,0.01370276790112257,0.4886750280857086
115712,1534,0.0037393635138869286,-0.758177638053894,0.01953125,1763260210.3828022,0.0022216103971004486,-0.009837888181209564,1087.0,132.4644491672516,,0.00023064516426529735,,-0.005562049336731434,0.5473839640617371
115968,1536,0.0021129893139004707,-0.08975517749786377,0.001953125,1763260210.634543,0.00853011291474104,-0.014847900718450546,1086.0,132.7161898612976,,0.0002304915542481467,,0.009316562674939632,0.5941234827041626
116736,1543,0.0007308078929781914,0.15088921785354614,0.0,1763260211.3026166,0.00039815789205022156,0.009804602712392807,1087.0,133.3842635154724,,0.0002300307241966948,,0.009936594404280186,0.605994701385498
116864,1545,0.00017361994832754135,0.001020669937133789,0.0,1763260211.4148602,1669.7149658203125,0.0023958683013916016,1087.0,133.49650716781616,,0.00022995391918811947,,0.002309233881533146,0.5585637092590332
116992,1546,0.0011746454983949661,-0.07656872272491455,0.0,1763260211.5247288,0.008228342048823833,0.003907201811671257,1087.0,133.6063756942749,,0.00022987711417954415,,0.010562077164649963,0.4395298659801483
118250,1558,,,,1763260212.590428,,,,134.67207503318787,500.0,,500.0,,
118272,1559,0.001397639513015747,0.00028073787689208984,0.0,1763260212.6962543,1601.048828125,-0.0076554911211133,1087.0,134.77790117263794,,0.00022910906409379095,,0.0020022690296173096,0.4804377853870392
118750,1563,,,,1763260213.0650547,,,,135.14670157432556,500.0,,500.0,,
119040,1566,0.0009872354567050934,0.03403598070144653,0.0,1763260213.3651578,0.0012419894337654114,-0.01815309189260006,1087.0,135.4468047618866,,0.00022864823404233903,,0.007877780124545097,0.5421515703201294
121250,1588,,,,1763260215.3231528,,,,137.40479969978333,500.0,,500.0,,
121344,1589,0.0010122330859303474,0.0006078481674194336,0.0,1763260215.4218543,946.6478881835938,-0.0009866803884506226,1088.0,137.5035011768341,,0.00022726574388798326,,0.007209203206002712,0.5148229002952576
122240,1597,0.002395930700004101,-0.726081371307373,0.0,1763260216.2274404,0.0005461479886434972,-0.004736617207527161,1088.0,138.30908727645874,,0.00022672810882795602,,-0.011139917187392712,0.5203328132629395
123250,1607,,,,1763260217.0753965,,,,139.15704345703125,500.0,,500.0,,
123392,1609,0.0008258931338787079,0.1587703824043274,0.0,1763260217.2585497,0.007700180634856224,-0.014466829597949982,1088.0,139.34019660949707,,0.00022603686375077814,,0.012830588966608047,0.5257503390312195
123520,1610,0.0017927102744579315,-0.0779503583908081,0.0,1763260217.3686943,0.001663976931013167,0.010817058384418488,1089.0,139.4503412246704,,0.00022596005874220282,,0.009218133985996246,0.4845796525478363
123750,1612,,,,1763260217.5127728,,,,139.5944197177887,500.0,,500.0,,
125184,1626,0.00401438120752573,-0.1096961498260498,0.0078125,1763260218.8353236,0.0002513401850592345,-0.009297559037804604,1089.0,140.9169704914093,,0.00022496159363072366,,-0.011724728159606457,0.4556906521320343
126336,1638,0.00040555838495492935,-0.00016117095947265625,0.0,1763260219.8662229,1202.0452880859375,0.006351947784423828,1089.0,141.94786977767944,,0.00022427034855354577,,0.002069843001663685,0.4263190031051636
131328,1687,0.003500436432659626,3.4332275390625e-05,0.00390625,1763260224.3755887,1350.6712646484375,-0.0037997737526893616,1090.0,146.4572355747223,,0.0002212749677710235,,-0.02332521788775921,0.42954927682876587
135936,1732,0.0038229450583457947,0.35078322887420654,0.001953125,1763260228.4665306,0.00921204686164856,-0.030628731474280357,1091.0,150.54817748069763,,0.00021850998746231198,,0.0027324892580509186,0.3953673243522644
137250,1745,,,,1763260229.6117673,,,,151.6934142112732,500.0,,500.0,,
138112,1753,0.0004543997347354889,0.46003812551498413,0.005859375,1763260230.3865414,0.0015162351774051785,-0.0034829340875148773,1092.0,152.46818828582764,,0.00021720430231653154,,0.0016239453107118607,0.40382856130599976
138240,1754,0.0033774934709072113,-0.3115427494049072,0.001953125,1763260230.5193572,0.0009341288241557777,-0.011805431917309761,1092.0,152.60100412368774,,0.00021712749730795622,,0.015180682763457298,0.4568794071674347
139264,1765,1.0264106094837189e-05,0.0011466145515441895,0.0,1763260231.4000902,1756.9429931640625,-0.0006159739568829536,1092.0,153.48173713684082,,0.00021651305723935366,,0.0014921827241778374,0.45698708295822144
139648,1768,0.002160940319299698,-0.007364869117736816,0.0,1763260231.7656362,0.00046858645509928465,0.005163811147212982,1092.0,153.8472831249237,,0.0002162826422136277,,0.03106355294585228,0.35611066222190857
140544,1777,0.00030877161771059036,-1.0765681266784668,0.0,1763260232.565279,0.001600622315891087,0.0027497708797454834,1092.0,154.6469259262085,,0.00021574500715360045,,0.0034505659714341164,0.390951544046402
144750,1818,,,,1763260236.2460525,,,,158.3276994228363,500.0,,500.0,,
145250,1823,,,,1763260236.70575,,,,158.7873969078064,500.0,,500.0,,
148096,1851,0.0015839114785194397,0.07496589422225952,0.001953125,1763260239.2879272,0.0008662182372063398,-0.016444597393274307,1094.0,161.3695740699768,,0.00021121351164765656,,0.003155043348670006,0.46585214138031006
148608,1856,7.988419383764267e-05,0.046321749687194824,0.0,1763260239.7285032,0.0018515591509640217,0.0020102467387914658,1094.0,161.81015014648438,,0.00021090629161335528,,-0.004276038147509098,0.4831327795982361
149760,1868,0.0003511086106300354,9.232759475708008e-05,0.0,1763260240.7560768,1714.732666015625,-0.0016940757632255554,1094.0,162.83772373199463,,0.0002102150465361774,,0.003119857981801033,0.5077275633811951
150272,1873,0.0009984048083424568,0.00037658214569091797,0.0,1763260241.2325509,2146.740966796875,0.011003881692886353,1094.0,163.31419777870178,,0.00020990784105379134,,0.0017754444852471352,0.4958236813545227
150750,1877,,,,1763260241.593864,,,,163.6755108833313,500.0,,500.0,,
151680,1886,0.00171003770083189,-0.4001579284667969,0.005859375,1763260242.4755094,0.0005732453428208828,-0.0031937509775161743,1094.0,164.5571563243866,,0.00020906298595946282,,-0.0002619577571749687,0.4274764358997345
152576,1895,0.00031810346990823746,-0.059955716133117676,0.0,1763260243.2780867,0.0018114147242158651,-0.0033021345734596252,1095.0,165.35973358154297,,0.00020852535089943558,,0.0039466312155127525,0.4767056107521057
153344,1903,0.0005650613456964493,-0.00016248226165771484,0.0,1763260243.9559572,1146.592041015625,-0.004931215196847916,1095.0,166.03760409355164,,0.00020806452084798366,,0.002632809802889824,0.5203357338905334
153728,1906,0.00012090615928173065,-0.5780630111694336,0.0,1763260244.306086,0.0003617140755522996,-0.0014509744942188263,1095.0,166.3877329826355,,0.0002078341058222577,,-0.0029566287994384766,0.4874836206436157
154880,1918,0.0007005501538515091,0.024547696113586426,0.0,1763260245.3282824,0.01052881684154272,-0.005813471972942352,1095.0,167.4099292755127,,0.00020714286074507982,,0.005597537383437157,0.48876190185546875
155136,1920,0.0012988653033971786,0.05116069316864014,0.00390625,1763260245.546527,0.00036245561204850674,-0.007670596241950989,1095.0,167.628173828125,,0.00020698925072792917,,0.002050943672657013,0.5474196672439575
