_timestamp,losses/old_approx_kl,global_step,losses/entropy,charts/learning_rate,losses/clipfrac,charts/SPS,_runtime,losses/approx_kl,losses/policy_loss,charts/episodic_length,charts/episodic_return,_step,losses/value_loss,losses/explained_variance
1763260102.9726136,,0,,,,,24.442391633987427,,,,,0,,
1763260114.0066621,,125,,,,,35.47644019126892,,,16.0,16.0,7,,
1763260116.1032722,,578,,,,,37.57305026054382,,,24.0,24.0,33,,
1763260116.6363869,,763,,,,,38.10616493225098,,,23.0,23.0,41,,
1763260117.0433538,,881,,,,,38.513131856918335,,,35.0,35.0,47,,
1763260118.53365,0.0024727853015065193,1408,0.6227582097053528,0.0002992319641634822,0.0,251.0,40.00342798233032,0.0002163602039217949,-0.00448724627494812,,,64,222.59329223632812,0.002232849597930908
1763260119.2564344,,1698,,,,,40.72621250152588,,,60.0,60.0,74,,
1763260119.5393834,,1835,,,,,41.00916147232056,,,86.0,86.0,77,,
1763260120.5605483,-0.008395353332161903,2304,0.5708650350570679,0.00029869432910345495,0.0,302.0,42.03032636642456,0.00044265948235988617,-0.0064896345138549805,,,88,193.43553161621094,0.008392274379730225
1763260121.7476368,,2929,,,,,43.21741485595703,,,30.0,30.0,102,,
1763260121.9761596,,2984,,,,,43.445937633514404,,,55.0,55.0,104,,
1763260124.5625765,-0.0008594077080488205,4224,0.6211071014404297,0.00029754225397482514,0.0,363.0,46.03235459327698,8.505582809448242e-05,0.0006906967610120773,,,133,153.959228515625,0.02311474084854126
1763260125.7824798,,4976,,,,,47.25225782394409,,,105.0,105.0,147,,
1763260125.970679,,5028,,,,,47.4404571056366,,,52.0,52.0,149,,
1763260126.0116508,,5063,,,,,47.48142886161804,,,35.0,35.0,150,,
1763260126.4545922,,5259,,,,,47.92437028884888,,,76.0,76.0,155,,
1763260126.67529,,5381,,,,,48.14506816864014,,,122.0,122.0,157,,
1763260128.0375059,,6082,,,,,49.50728392601013,,,91.0,91.0,172,,
1763260130.3519166,,7181,,,,,51.82169461250305,,,63.0,63.0,195,,
1763260131.0506535,,7551,,,,,52.52043151855469,,,69.0,69.0,203,,
1763260132.190015,,8030,,,,,53.65979313850403,,,165.0,165.0,213,,
1763260132.693417,0.0002531604841351509,8192,0.5530474185943604,0.0002951612987089902,0.0,414.0,54.16319513320923,5.799252539873123e-05,-0.0020105093717575073,,,217,59.16318893432617,-0.014691829681396484
1763260134.1964498,,8862,,,,,55.6662278175354,,,77.0,77.0,228,,
1763260134.8520603,,9130,,,,,56.32183837890625,,,94.0,94.0,233,,
1763260137.0047874,,10083,,,,,58.474565505981445,,,65.0,65.0,251,,
1763260137.992207,-0.004071351140737534,10496,0.5936559438705444,0.00029377880855463445,0.0,418.0,59.46198511123657,8.777342736721039e-05,0.005237024277448654,,,259,93.76226806640625,0.4513753652572632
1763260138.7333624,,10884,,,,,60.20314049720764,,,121.0,121.0,265,,
1763260139.6074977,,11347,,,,,61.07727575302124,,,73.0,73.0,273,,
1763260139.8077967,0.0004442427307367325,11392,0.6030064821243286,0.0002932411734946072,0.0,423.0,61.27757477760315,4.170462489128113e-06,-0.0003698766231536865,,,274,116.05947875976562,0.2661263346672058
1763260141.9158528,,12609,,,,,63.38563084602356,,,180.0,180.0,292,,
1763260146.2387714,0.00035419315099716187,14976,0.5899357795715332,0.00029109063325449824,0.0,449.0,67.70854949951172,6.938353180885315e-06,7.640570402145386e-05,,,327,108.8497085571289,0.06606340408325195
1763260146.5222967,,15174,,,,,67.99207472801208,,,134.0,134.0,330,,
1763260146.759098,,15311,,,,,68.2288761138916,,,137.0,137.0,332,,
1763260147.408712,-0.00446433387696743,15616,0.612506628036499,0.00029070660821162164,0.0,452.0,68.87848997116089,5.054660141468048e-05,-0.002619560807943344,,,337,118.4442367553711,0.0840417742729187
1763260147.6900103,,15800,,,,,69.15978837013245,,,132.0,132.0,340,,
