charts/learning_rate,global_step,charts/episodic_return,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,_timestamp,charts/SPS,losses/clipfrac,losses/approx_kl,charts/episodic_length,losses/entropy,losses/value_loss,_runtime
0.0002315668243682012,114176,,0.32203054428100586,-0.001111060380935669,-0.009891501627862453,1381,1763260286.0111463,659.0,0.0,0.0018666917458176613,,0.5170641541481018,0.00028558718622662127,207.4824242591858
0.0002311827993253246,114816,,0.00036722421646118164,0.0004909336566925049,-0.0036315014585852623,1388,1763260286.6092205,661.0,0.0,0.000980122946202755,,0.5223610401153564,1109.86767578125,208.08049845695496
0.00023072196927387267,115584,,-0.2812974452972412,0.00485529750585556,0.005662865936756134,1395,1763260287.2816865,662.0,0.0,0.00048469193279743195,,0.47763773798942566,0.002963079372420907,208.75296449661255
0.0002304915542481467,115968,,-0.08903706073760986,0.003938354551792145,-0.0017463089898228645,1399,1763260287.6570606,663.0,0.0,0.00024571362882852554,,0.4949014484882355,0.006770426873117685,209.12833857536316
0.0002301075292052701,116608,,-0.020299077033996582,-0.009129736572504044,-0.006839243695139885,1405,1763260288.2207668,665.0,0.005859375,0.0023254305124282837,,0.49294108152389526,0.00022790473303757608,209.69204473495483
0.00022849462402518839,119296,,0.00024068355560302734,-0.00040637701749801636,0.000663289800286293,1432,1763260290.8287973,670.0,0.0,0.0001356862485408783,,0.4813445806503296,1477.1851806640625,212.30007529258728
0.00022841781901661307,119424,,-0.11876249313354492,-0.007316909730434418,-0.0070895906537771225,1433,1763260291.031331,670.0,0.0,0.0005910750478506088,,0.47398093342781067,0.00856410525739193,212.5026090145111
,121726,500.0,,,,1455,1763260294.157459,,,,500.0,,,215.62873697280884
0.0002270353288622573,121728,,0.00017118453979492188,-0.009016765281558037,0.006124921143054962,1456,1763260294.3104074,671.0,0.0,0.0008408520370721817,,0.5047282576560974,1978.62890625,215.78168535232544
0.00022695852385368198,121856,,0.10207134485244751,-0.004901498556137085,0.003231658600270748,1457,1763260294.4833395,671.0,0.0,0.0005718087777495384,,0.5108585953712463,0.011187058873474598,215.95461750030518
,127726,500.0,,,,1514,1763260302.342305,,,,500.0,,,223.81358289718628
0.00022304146841634065,128384,,0.5509653091430664,0.001453585922718048,-0.00022469274699687958,1521,1763260303.0181818,675.0,0.0,0.0001745317131280899,,0.49959734082221985,0.008701834827661514,224.4894597530365
0.0002228110533906147,128768,,0.0009377598762512207,0.0014207810163497925,0.00013142917305231094,1525,1763260303.355227,676.0,0.0,1.3229437172412872e-05,,0.4883275628089905,1425.1904296875,224.826504945755
0.00022265744337346405,129024,,-0.26494836807250977,-0.016264494508504868,0.0025199949741363525,1527,1763260303.6148179,676.0,0.00390625,0.0063429344445466995,,0.5053069591522217,0.0019811242818832397,225.08609580993652
,129226,500.0,,,,1529,1763260303.7539067,,,,500.0,,,225.22518467903137
