charts/learning_rate,_runtime,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,_step,charts/SPS,losses/value_loss,losses/clipfrac,losses/explained_variance,global_step,losses/entropy,charts/episodic_length,losses/policy_loss,_timestamp
,24.33728051185608,,,,0,,,,,0,,,,1763260102.8695815
0.0003000000142492354,36.16779923439026,7.029622793197632e-05,0.0028678048402071,,7,76.0,47.10608673095703,0.0,-0.013291120529174805,128,0.6930593252182007,,-0.0030137598514556885,1763260114.7001002
,37.66406202316284,,,13.0,33,,,,,617,,13.0,,1763260116.196363
0.0002996159892063588,38.295663356781006,0.0008467528969049454,0.011872941628098488,,41,201.0,96.48281860351562,0.0,0.00625920295715332,768,0.6870975494384766,,-0.01829737052321434,1763260116.8279643
0.00029953918419778347,38.73623847961426,0.001729271374642849,0.01755104586482048,,47,210.0,74.6370620727539,0.0,-0.007329463958740234,896,0.6784282922744751,,-0.025371290743350983,1763260117.2685394
,40.00758171081543,,,57.0,64,,,,,1307,,57.0,,1763260118.5398827
,40.796026945114136,,,48.0,74,,,,,1574,,48.0,,1763260119.328328
,41.09510898590088,,,53.0,77,,,,,1681,,53.0,,1763260119.62741
,42.067633867263794,,,89.0,88,,,,,2116,,89.0,,1763260120.5999348
0.000298463914077729,43.45566654205322,0.0007142825052142143,0.0026947250589728355,,102,299.0,155.04710388183594,0.0,0.04989129304885864,2688,0.5861368775367737,,-0.006422355771064758,1763260121.9879675
0.00029838710906915367,43.70244240760803,0.0004915306344628334,0.00456018652766943,,104,305.0,823.2410888671875,0.0,0.015566468238830566,2816,0.6179679036140442,,-0.010793374851346016,1763260122.2347434
,46.48362421989441,,,177.0,133,,,,,4316,,177.0,,1763260125.0159252
0.0002969278139062226,48.185094594955444,0.00014183204621076584,0.0010951468721032143,,147,383.0,391.7066345214844,0.0,0.0652933120727539,5248,0.5707154273986816,,0.00023577362298965454,1763260126.7173955
0.00029685100889764726,48.416553020477295,0.00011311937123537064,8.192751556634903e-05,,149,385.0,646.2553100585938,0.0,0.05638009309768677,5376,0.5943892002105713,,-0.004106417298316956,1763260126.948854
,48.46257138252258,,,173.0,150,,,,,5433,,173.0,,1763260126.9948723
0.000296543788863346,49.30517101287842,0.0006810100749135017,0.0063423411920666695,,155,397.0,955.554931640625,0.0,0.045590341091156006,5888,0.6461461782455444,,0.001718347892165184,1763260127.837472
0.00029646698385477066,49.54355764389038,0.00012223515659570694,0.0031035756692290306,,157,399.0,650.3846435546875,0.0,0.12691456079483032,6016,0.6413764357566833,,-0.003067590296268463,1763260128.0758586
,51.3478946685791,,,76.0,172,,,,,7026,,76.0,,1763260129.8801956
,54.38884663581848,,,69.0,195,,,,,8345,,69.0,,1763260132.9211476
0.0002947004686575383,55.71384572982788,1.193024218082428e-06,-0.0002620229497551918,,203,422.0,839.7753295898438,0.0,0.0037022829055786133,8960,0.6126804947853088,,6.341934204101562e-05,1763260134.2461467
,57.322606325149536,,,365.0,213,,,,,9650,,365.0,,1763260135.8549073
0.00029408602858893573,58.08262753486633,3.568828105926514e-05,0.0016846135258674622,,217,423.0,700.2565307617188,0.0,0.21991568803787231,9984,0.5867863297462463,,-0.001678023487329483,1763260136.6149285
,59.4927773475647,,,138.0,228,,,,,10719,,138.0,,1763260138.0250783
0.00029347158852033317,60.274486780166626,0.00022677797824144363,0.0031558508053421974,,233,426.0,299.3380126953125,0.0,0.02561807632446289,11008,0.623164713382721,,-0.0017495974898338318,1763260138.8067877
0.00029270353843457997,62.73856067657471,8.686818182468414e-05,-0.002755478024482727,,251,434.0,109.13919067382812,0.0,0.008259296417236328,12288,0.5905178189277649,,-0.003234356641769409,1763260141.2708616
,63.92145919799805,,,218.0,259,,,,,12964,,218.0,,1763260142.4537601
,64.87819647789001,,,359.0,265,,,,,13558,,359.0,,1763260143.4104974
0.00029155146330595016,66.13785672187805,4.5318156480789185e-06,-9.339675307273865e-05,,273,448.0,506.5172119140625,0.0,2.2232532501220703e-05,14208,0.5525686740875244,,0.00030315667390823364,1763260144.6701577
0.00029147465829737484,66.33918976783752,0.0011483440175652504,0.010766745544970036,,274,450.0,655.7806396484375,0.0,0.018695712089538574,14336,0.5318326354026794,,-0.01927417516708374,1763260144.8714907
,68.72584843635559,,,184.0,292,,,,,15650,,184.0,,1763260147.2581494
