losses/clipfrac,charts/learning_rate,losses/value_loss,charts/episodic_return,losses/explained_variance,global_step,charts/SPS,losses/entropy,losses/old_approx_kl,losses/policy_loss,losses/approx_kl,_runtime,charts/episodic_length,_step,_timestamp
,,,,,0,,,,,,24.282828092575073,,0,1763260102.188157
,,,17.0,,148,,,,,,26.33652639389038,17.0,7,1763260104.2418554
,,,17.0,,714,,,,,,26.933447122573853,17.0,33,1763260104.838776
0.0,0.00029953918419778347,157.29476928710938,,-0.007674813270568848,896,773.0,0.6777679324150085,-0.002515858970582485,-0.007257668301463127,0.00043624546378850937,27.19817280769348,,41,1763260105.1035018
,,,88.0,,1109,,,,,,27.353517770767212,88.0,47,1763260105.2588468
0.0,0.00029907835414633155,129.7808074951172,,0.024673283100128174,1664,863.0,0.6363318562507629,0.003759159706532955,-0.0008034259080886841,0.0008380012586712837,27.96731185913086,,64,1763260105.8726408
,,,76.0,,1988,,,,,,28.241427421569824,76.0,74,1763260106.1467564
,,,51.0,,2075,,,,,,28.349072456359863,51.0,77,1763260106.2544014
0.0,0.0002985407190863043,229.59060668945312,,0.00045877695083618164,2560,917.0,0.6092641949653625,-0.0008768262341618538,-0.003970034420490265,7.804203778505325e-05,28.83080267906189,,88,1763260106.7361317
0.0,0.000298233499052003,283.6897277832031,,0.0024771690368652344,3072,940.0,0.5990007519721985,0.004865947179496288,-0.006825890392065048,0.0002969568595290184,29.307389974594116,,102,1763260107.212719
0.0,0.0002981566940434277,405.799072265625,,0.017277836799621582,3200,946.0,0.592383861541748,-0.003017422743141651,0.0026671402156352997,6.758328527212143e-05,29.419980764389038,,104,1763260107.3253098
,,,101.0,,4537,,,,,,30.61257791519165,101.0,133,1763260108.517907
0.0,0.0002970046189147979,143.29037475585938,,0.009332597255706787,5120,992.0,0.5505532026290894,0.015459892340004444,-0.008566010743379593,0.001085720956325531,31.199347019195557,,147,1763260109.104676
,,,79.0,,5241,,,,,,31.241722583770752,79.0,149,1763260109.1470516
0.0,0.0002969278139062226,207.93185424804688,,0.0014644265174865723,5248,994.0,0.6141514778137207,0.000723719596862793,-0.0015663616359233856,2.6950612664222717e-05,31.315212965011597,,150,1763260109.220542
,,,44.0,,5416,,,,,,31.44802474975586,44.0,155,1763260109.3533537
,,,29.0,,5492,,,,,,31.475339651107788,29.0,157,1763260109.3806686
,,,65.0,,6129,,,,,,32.07929182052612,65.0,172,1763260109.9846208
0.001953125,0.00029569893376901746,757.3082885742188,,0.0282670259475708,7296,1016.0,0.5690860748291016,0.0009196437895298004,-0.006332717835903168,0.0017410125583410263,33.21871471405029,,195,1763260111.1240437
,,,67.0,,7726,,,,,,33.58654856681824,67.0,203,1763260111.4918776
,,,47.0,,8165,,,,,,33.98232078552246,47.0,213,1763260111.8876498
,,,92.0,,8337,,,,,,34.186930418014526,92.0,217,1763260112.0922594
,,,74.0,,8950,,,,,,35.052191972732544,74.0,228,1763260112.957521
0.0,0.00029454685864038765,246.7120819091797,,0.0260733962059021,9216,984.0,0.5730828642845154,-0.0015092696994543076,0.0005071908235549927,1.4260411262512207e-05,35.3988823890686,,233,1763260113.3042114
,,,142.0,,10160,,,,,,36.33705949783325,142.0,251,1763260114.2423885
,,,54.0,,10517,,,,,,36.71894097328186,54.0,259,1763260114.62427
0.0,0.0002935483935289085,277.2210693359375,,0.11268830299377441,10880,981.0,0.5763038992881775,0.002106923609972,-0.0019974038004875183,6.19497150182724e-05,37.11926770210266,,265,1763260115.0245967
,,,62.0,,11185,,,,,,37.39054989814758,62.0,273,1763260115.295879
,,,39.0,,11224,,,,,,37.405768156051636,39.0,274,1763260115.3110971
,,,122.0,,12231,,,,,,38.358219146728516,122.0,292,1763260116.2635481
0.0,0.0002913978532887995,569.53369140625,,0.0058626532554626465,14464,1004.0,0.5991503596305847,5.835480988025665e-05,-0.0003368072211742401,5.15766441822052e-06,40.43305778503418,,321,1763260118.3383868
0.0,0.00029109063325449824,565.134033203125,,-0.0018384456634521484,14976,1009.0,0.5763767957687378,-0.002703264355659485,0.004420127719640732,0.0011712629348039627,40.87891960144043,,327,1763260118.7842486
0.001953125,0.0002909370232373476,177.02474975585938,,-0.006738066673278809,15232,1011.0,0.5722277760505676,0.019540410488843918,-0.005879387259483337,0.0034110955893993378,41.101900815963745,,330,1763260119.0072298
,,,260.0,,15424,,,,,,41.26961612701416,260.0,332,1763260119.174945
0.0,0.0002906298032030463,459.9378662109375,,0.007971644401550293,15744,1012.0,0.5886431932449341,0.0004707193002104759,1.80806964635849e-05,4.735775291919708e-06,41.587746143341064,,337,1763260119.4930751
,,,147.0,,15992,,,,,,41.74160099029541,147.0,340,1763260119.64693
0.0,0.00028917050804011524,72.47028350830078,,0.4461669325828552,18176,1023.0,0.5533736944198608,0.0038832444697618484,-0.009874504059553146,0.00023555196821689606,43.804410219192505,,370,1763260121.7097392
0.0,0.00028809523792006075,71.03825378417969,,0.7882941961288452,19968,1028.0,0.5980737209320068,-0.0025034919381141663,-0.0009755976498126984,3.0251219868659973e-05,45.463730812072754,,396,1763260123.3690598
0.0,0.0002867895527742803,51.291053771972656,,0.7613689303398132,22144,1034.0,0.6084334254264832,0.00619164202362299,-0.00495968759059906,0.000195319764316082,47.44119048118591,,425,1763260125.3465195
0.0,0.0002860215026885271,333.1220703125,,0.022829413414001465,23424,1036.0,0.5890272855758667,-0.0002332739531993866,-0.001368992030620575,8.33161175251007e-06,48.63051772117615,,441,1763260126.5358467
0.0,0.0002856374776456505,174.61151123046875,,-0.002201080322265625,24064,1038.0,0.5971258282661438,0.00116681307554245,0.0010534077882766724,3.433786332607269e-05,49.21603441238403,,450,1763260127.1213634
,,,99.0,,25979,,,,,,50.8923134803772,99.0,471,1763260128.7976425
,,,140.0,,26723,,,,,,51.551169872283936,140.0,481,1763260129.4564989
0.0,0.0002837941574398428,262.065673828125,,0.019934892654418945,27136,1044.0,0.5898205041885376,0.00012940820306539536,0.0002594292163848877,7.313676178455353e-06,52.013261795043945,,490,1763260129.9185908
0.0,0.00028310291236266494,316.27056884765625,,0.020316362380981445,28288,1047.0,0.6021007299423218,-0.0013208016753196716,-0.009146692231297493,0.0006981175392866135,53.05475950241089,,504,1763260130.9600885
,,,234.0,,29204,,,,,,53.872870445251465,234.0,515,1763260131.7781994
,,,110.0,,30195,,,,,,54.69753384590149,110.0,530,1763260132.6028628
,,,256.0,,30914,,,,,,55.46171450614929,256.0,539,1763260133.3670435
,,,164.0,,31543,,,,,,56.13146471977234,164.0,547,1763260134.0367937
