_runtime,charts/SPS,losses/entropy,charts/episodic_return,losses/explained_variance,losses/policy_loss,_step,global_step,losses/approx_kl,charts/episodic_length,charts/learning_rate,losses/value_loss,losses/old_approx_kl,losses/clipfrac,_timestamp
24.42858386039734,,,,,,0,0,,,,,,,1763260100.59176
25.469507455825806,,,27.0,,,7,174,,27.0,,,,,1763260101.6326835
27.67079448699951,,,20.0,,,33,762,,20.0,,,,,1763260103.8339705
28.503244400024414,,,17.0,,,41,920,,17.0,,,,,1763260104.6664205
29.050307035446167,,,49.0,,,47,1081,,49.0,,,,,1763260105.213483
30.749435424804688,,,98.0,,,64,1561,,98.0,,,,,1763260106.9126115
32.05715298652649,302.0,0.6447029709815979,,0.00642848014831543,0.0020459629595279694,74,2048,4.018563777208328e-05,,0.0002988479391206056,380.2480163574219,-0.002321961335837841,0.0,1763260108.220329
32.4198043346405,305.0,0.6152469515800476,,-0.010628700256347656,0.0001635868102312088,77,2176,0.0002815006300806999,,0.00029877113411203027,272.64703369140625,-0.0002115285024046898,0.0,1763260108.5829804
33.63387870788574,306.0,0.6092978715896606,,0.006893515586853027,0.00010723993182182312,88,2560,0.00010202266275882721,,0.0002985407190863043,144.49559020996094,0.00041235610842704773,0.0,1763260109.7970548
35.44408082962036,315.0,0.6325783729553223,,-0.0007755756378173828,-0.00020991265773773193,102,3200,7.131043821573257e-05,,0.0002981566940434277,397.1062927246094,-0.0007424140349030495,0.0,1763260111.607257
35.555694818496704,,,44.0,,,104,3298,,44.0,,,,,1763260111.7188709
39.67512083053589,338.0,0.5800995826721191,,-0.011209607124328613,-0.00382118858397007,133,4864,0.00023407675325870514,,0.00029715822893194854,353.1235656738281,0.0035595502704381943,0.0,1763260115.838297
41.778019428253174,349.0,0.5882278680801392,,-0.012141585350036621,0.000120578333735466,147,5760,6.164982914924622e-05,,0.0002966205938719213,377.3908386230469,0.004601594060659409,0.0,1763260117.9411955
42.070761919021606,350.0,0.6005556583404541,,0.2017027735710144,-0.00034838542342185974,149,5888,0.00022902712225914001,,0.000296543788863346,263.9671630859375,0.0063433218747377396,0.0,1763260118.233938
42.30157136917114,353.0,0.6445908546447754,,0.033193767070770264,-0.003991525620222092,150,6016,0.00019852910190820694,,0.00029646698385477066,738.248779296875,0.0027442751452326775,0.0,1763260118.4647474
42.74057340621948,,,30.0,,,155,6188,,30.0,,,,,1763260118.9037495
43.033485412597656,353.0,0.5380842685699463,,0.008942365646362305,-0.0038110222667455673,157,6272,6.321631371974945e-05,,0.00029631337383762,86.85417175292969,0.0017463155090808868,0.0,1763260119.1966615
44.7442831993103,,,122.0,,,172,7097,,122.0,,,,,1763260120.9074593
