_runtime,losses/explained_variance,charts/episodic_return,charts/SPS,global_step,losses/approx_kl,losses/policy_loss,charts/learning_rate,losses/value_loss,charts/episodic_length,losses/old_approx_kl,_step,_timestamp,losses/entropy,losses/clipfrac
24.4059579372406,,,,0,,,,,,,0,1763260102.319016,,
26.182299852371216,,15.0,,126,,,,,15.0,,7,1763260104.095358,,
26.84705948829651,,27.0,,592,,,,,27.0,,33,1763260104.7601175,,
27.117422103881836,-0.004607200622558594,,707.0,768,0.0016602082177996635,0.007994435727596283,0.0002996159892063588,115.05960083007812,,-0.015707723796367645,41,1763260105.0304801,0.6700579524040222,0.0
27.256044387817383,,20.0,,908,,,,,20.0,,47,1763260105.1691024,,
27.795351266860962,,16.0,,1461,,,,,16.0,,64,1763260105.7084093,,
28.137245655059814,,56.0,,1796,,,,,56.0,,74,1763260106.0503037,,
28.299087524414062,,151.0,,2034,,,,,151.0,,77,1763260106.2121456,,
28.864893198013306,0.010795056819915771,,903.0,2560,0.00015113595873117447,-0.003263436257839203,0.0002985407190863043,330.51226806640625,,0.004547500051558018,88,1763260106.7779512,0.6439867615699768,0.0
29.283317804336548,,21.0,,3046,,,,,21.0,,102,1763260107.1963758,,
29.37202548980713,,36.0,,3082,,,,,36.0,,104,1763260107.2850835,,
30.565302848815918,-0.023437023162841797,,959.0,4352,0.00010322127491235733,-0.0018971990793943405,0.0002974654489662498,586.3074951171875,,-6.81048259139061e-05,133,1763260108.478361,0.6305034160614014,0.0
31.063151597976685,0.09467023611068726,,966.0,4864,6.244238466024399e-05,-0.005238860845565796,0.00029715822893194854,122.44351196289062,,0.00022355932742357254,147,1763260108.9762096,0.5938627123832703,0.0
31.184714794158936,,174.0,,5016,,,,,174.0,,149,1763260109.0977728,,
31.208266258239746,,69.0,,5085,,,,,69.0,,150,1763260109.1213243,,
31.519957542419434,0.03148680925369263,,979.0,5376,8.597318083047867e-05,-0.0002648085355758667,0.00029685100889764726,153.82801818847656,,-0.003969677723944187,155,1763260109.4330156,0.6157087683677673,0.0
31.542924642562866,,38.0,,5437,,,,,38.0,,157,1763260109.4559827,,
32.2635235786438,,176.0,,6209,,,,,176.0,,172,1763260110.1765816,,
33.56166172027588,,48.0,,7633,,,,,48.0,,195,1763260111.4747198,,
34.13262915611267,0.14079266786575317,,1011.0,8192,0.00013556238263845444,0.002745330333709717,0.0002951612987089902,704.9031982421875,,-0.000991874374449253,203,1763260112.0456872,0.6232186555862427,0.0
34.61552810668945,,110.0,,8594,,,,,110.0,,213,1763260112.5285861,,
34.927579164505005,,47.0,,8738,,,,,47.0,,217,1763260112.8406372,,
35.62903571128845,,169.0,,9398,,,,,169.0,,228,1763260113.5420938,,
35.864317655563354,0.12478524446487427,,976.0,9600,0.00022498797625303268,-0.005008332431316376,0.0002943164436146617,74.49651336669922,,0.003933948464691639,233,1763260113.7773757,0.5898908376693726,0.0
37.04775428771973,0.13924121856689453,,976.0,10752,8.236616849899292e-06,-0.00023525208234786987,0.0002936251985374838,218.0515899658203,,0.0013599749654531479,251,1763260114.9608123,0.630499541759491,0.0
37.479530572891235,,152.0,,11256,,,,,152.0,,259,1763260115.3925886,,
37.800511837005615,,89.0,,11584,,,,,89.0,,265,1763260115.7135699,,
38.28196382522583,,219.0,,12077,,,,,219.0,,273,1763260116.1950219,,
38.39304780960083,0.23313969373703003,,983.0,12160,0.001149861142039299,0.005357034504413605,0.0002927803434431553,268.8876647949219,,0.0008204411715269089,274,1763260116.3061059,0.6263726949691772,0.0
39.126609563827515,,107.0,,13048,,,,,107.0,,292,1763260117.0396676,,
41.129146099090576,,36.0,,15160,,,,,36.0,,327,1763260119.0422041,,
41.2544903755188,,116.0,,15325,,,,,116.0,,330,1763260119.1675484,,
41.33728361129761,0.07145816087722778,,1003.0,15360,2.443697303533554e-05,-0.0012249909341335297,0.0002908602182287723,140.5791473388672,,0.0010635005310177803,332,1763260119.2503417,0.6033639311790466,0.0
41.756542444229126,,191.0,,15852,,,,,191.0,,337,1763260119.6696005,,
41.946441411972046,0.7298380732536316,,1005.0,16000,0.0003995625302195549,-0.004740893840789795,0.0002904761931858957,124.88019561767578,,0.0024140486493706703,340,1763260119.8594995,0.627144992351532,0.0
43.643033504486084,,108.0,,17863,,,,,108.0,,370,1763260121.5560915,,
45.15448880195618,0.16052007675170898,,1017.0,19456,0.0007775342091917992,-0.012654833495616913,0.00028840245795436203,502.985107421875,,0.006870114244520664,396,1763260123.0675468,0.6183134317398071,0.0
46.861425161361694,0.7455195188522339,,1020.0,21248,0.0008674962446093559,0.009653095155954361,0.00028732718783430755,39.63344192504883,,-0.0003461027517914772,425,1763260124.7744832,0.5779609084129333,0.0
47.920202016830444,0.01396709680557251,,1023.0,22400,0.00014548003673553467,-0.0022952910512685776,0.00028663594275712967,246.5707550048828,,0.0003562755882740021,441,1763260125.83326,0.5388186573982239,0.0
48.60707974433899,-0.0177689790725708,,1026.0,23168,0.0014507714658975601,0.0003021657466888428,0.00028617511270567775,152.59521484375,,0.0010967869311571121,450,1763260126.5201378,0.613310694694519,0.0078125
50.05155539512634,,133.0,,24763,,,,,133.0,,471,1763260127.9646134,,
50.70471000671387,9.167194366455078e-05,,1032.0,25472,0.0004303343594074249,0.010058995336294174,0.000284792622551322,270.76312255859375,,-0.0014342479407787323,481,1763260128.617768,0.6041299700737,0.0
51.523420333862305,0.06518518924713135,,1034.0,26368,0.0003624679520726204,0.003816487267613411,0.00028425498749129474,394.7508544921875,,0.0017955629155039787,490,1763260129.4364784,0.5593978762626648,0.0
