losses/entropy,losses/policy_loss,losses/value_loss,_runtime,charts/episodic_return,losses/explained_variance,losses/old_approx_kl,_timestamp,charts/episodic_length,_step,charts/SPS,charts/learning_rate,losses/approx_kl,losses/clipfrac,global_step
,,,24.39074969291687,,,,1763260102.9265356,,0,,,,,0
,,,36.183292627334595,29.0,,,1763260114.7190785,29.0,7,,,,,161
,,,37.863868713378906,15.0,,,1763260116.3996546,15.0,33,,,,,651
,,,38.365898847579956,49.0,,,1763260116.9016848,49.0,41,,,,,882
,,,38.95918655395508,69.0,,,1763260117.4949725,69.0,47,,,,,1087
,,,40.361480712890625,75.0,,,1763260118.8972666,75.0,64,,,,,1607
,,,41.25074052810669,83.0,,,1763260119.7865264,83.0,74,,,,,2010
,,,41.52596735954285,72.0,,,1763260120.0617533,72.0,77,,,,,2097
,,,42.5495171546936,151.0,,,1763260121.085303,151.0,88,,,,,2600
0.5736267566680908,-0.005101852118968964,384.033447265625,44.15252876281738,,0.025429069995880127,0.005776258185505867,1763260122.6883147,,102,354.0,0.00029800308402627707,0.0002868790179491043,0.0,3456
0.5804597735404968,0.006619535386562347,392.9189453125,44.38567042350769,,-0.02617514133453369,0.024118540808558464,1763260122.9214563,,104,358.0,0.00029792627901770175,0.004175267182290554,0.00390625,3584
,,,47.59428310394287,228.0,,,1763260126.130069,228.0,133,,,,,5601
0.5434151887893677,-4.439800977706909e-05,764.947509765625,49.41260313987732,,0.005681276321411133,-0.00017951428890228271,1763260127.948389,,147,443.0,0.00029608295881189406,1.344829797744751e-06,0.0,6656
0.6077529191970825,-0.0007845088839530945,314.13409423828125,49.63847017288208,,0.043899714946746826,-0.0001493813470005989,1763260128.174256,,149,445.0,0.00029600615380331874,5.616806447505951e-06,0.0,6784
,,,49.677244424819946,95.0,,,1763260128.2130303,95.0,150,,,,,6815
,,,50.320125341415405,254.0,,,1763260128.8559113,254.0,155,,,,,7295
,,,50.56392860412598,88.0,,,1763260129.0997145,88.0,157,,,,,7383
0.6085335612297058,0.0006143078207969666,303.81695556640625,52.47211170196533,,0.030833303928375244,0.0010281652212142944,1763260131.0078976,,172,460.0,0.0002950844937004149,3.345310688018799e-06,0.0,8320
0.568117618560791,0.0033144429326057434,647.47216796875,56.03418469429016,,0.008600413799285889,0.0015070578083395958,1763260134.5699706,,195,467.0,0.0002940092235803604,0.0002625761553645134,0.0,10112
0.5937631130218506,-0.004104943946003914,220.70669555664062,57.38775682449341,,0.07369214296340942,-0.0003961995244026184,1763260135.9235427,,203,467.0,0.0002936251985374838,8.216127753257751e-05,0.0,10752
