charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/episodic_return,losses/entropy,_runtime,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac,losses/approx_kl
0.0002935483935289085,-0.006975650787353516,468.0,0.003617977723479271,,1763260136.1334715,,0.5043280720710754,57.5893714427948,0.0008588489145040512,10880,217,418.85003662109375,0.0,7.758103311061859e-05
,,,,34.0,1763260137.4092045,34.0,,58.86510443687439,,11618,228,,,
,,,,160.0,1763260138.1205301,160.0,,59.57643008232117,,11919,233,,,
0.00029224270838312805,0.25124895572662354,476.0,-0.0002626413479447365,,1763260140.3341784,,0.5895593762397766,61.79007840156555,-6.953254342079163e-06,13056,251,420.6624450683594,0.0,7.739290595054626e-07
,,,,159.0,1763260141.2765846,159.0,,62.732484579086304,,13654,259,,,
0.0002916282683145255,-0.01803910732269287,482.0,-0.0016496339812874794,,1763260142.1277056,,0.558914840221405,63.58360552787781,-0.0010778605937957764,14080,265,140.84222412109375,0.0,2.5902874767780304e-05
0.0002912442432716489,0.011568129062652588,486.0,-1.8921680748462677e-05,,1763260143.1961484,,0.5370981693267822,64.6520483493805,-0.0036276541650295258,14720,273,490.8890075683594,0.0,0.00023465324193239212
0.00029116743826307356,-0.0039789676666259766,487.0,0.017378518357872963,,1763260143.3910027,,0.5476242303848267,64.84690260887146,0.008100055158138275,14848,274,436.69342041015625,0.0,0.0012632384896278381
,,,,223.0,1763260145.4702456,223.0,,66.92614555358887,,16013,292,,,
,,,,170.0,1763260148.8539498,170.0,,70.3098497390747,,17932,321,,,
0.0002890168980229646,0.7862727046012878,501.0,0.0011350279673933983,,1763260149.705399,,0.5042493939399719,71.16129899024963,-0.009776778519153595,18432,327,70.927490234375,0.0,0.001058892346918583
,,,,140.0,1763260149.9679782,140.0,,71.42387819290161,,18597,330,,,
,,,,118.0,1763260150.2016504,118.0,,71.65755033493042,,18715,332,,,
,,,,184.0,1763260150.8523571,184.0,,72.30825710296631,,19127,337,,,
0.00028847926296293736,0.8480643630027771,504.0,-0.004481606185436249,,1763260151.274813,,0.5656140446662903,72.730712890625,0.005452696233987808,19328,340,68.97029876708984,0.0,0.0008816234767436981
0.00028701996780000627,0.8109568953514099,515.0,-0.0001429067924618721,,1763260155.1546361,,0.6098516583442688,76.61053609848022,-0.0006140284240245819,21760,370,34.237937927246094,0.0,3.612600266933441e-06
,,,,212.0,1763260155.8125489,212.0,,77.26844882965088,,22191,375,,,
