_step,_timestamp,losses/entropy,charts/episodic_length,charts/learning_rate,charts/SPS,losses/value_loss,losses/explained_variance,_runtime,charts/episodic_return,losses/approx_kl,losses/clipfrac,global_step,losses/old_approx_kl,losses/policy_loss
203,1763260113.7214086,0.585683286190033,,0.000294393248623237,968.0,220.18516540527344,0.07547825574874878,35.81178259849548,,0.0012332508340477943,0.0,9472,-0.002781718038022518,-0.012798160314559937
213,1763260114.517987,0.5999566316604614,,0.0002939324185717851,968.0,932.9514770507812,0.06197303533554077,36.60836100578308,,0.011113434098660946,0.0078125,10240,0.036726489663124084,-0.04919689893722534
217,1763260114.7811995,,335.0,,,,,36.87157344818115,335.0,,,10596,,
228,1763260115.507303,,161.0,,,,,37.59767699241638,161.0,,,11349,,
233,1763260115.8172092,0.6045660376548767,,0.00029308756347745657,981.0,225.2733154296875,-0.007631540298461914,37.907583236694336,,2.9488466680049896e-05,0.0,11648,0.0002931850031018257,-0.0027362555265426636
251,1763260117.277352,,195.0,,,,,39.36772608757019,195.0,,,13282,,
259,1763260117.729434,,213.0,,,,,39.81980800628662,213.0,,,13795,,
265,1763260118.186129,0.5590969324111938,,0.00029155146330595016,997.0,139.1173095703125,0.007123887538909912,40.27650308609009,,8.851103484630585e-05,0.0,14208,0.00020786933600902557,-0.005129985511302948
273,1763260118.7478657,0.5380530953407288,,0.00029116743826307356,1003.0,420.4150695800781,0.17191708087921143,40.838239669799805,,0.003751927986741066,0.02734375,14848,-0.01424405537545681,0.04014410451054573
274,1763260118.7549944,,127.0,,,,,40.84536838531494,127.0,,,14864,,
292,1763260120.0520513,,155.0,,,,,42.142425298690796,155.0,,,16332,,
321,1763260122.388863,0.5767478942871094,,0.00028878648299723864,1020.0,400.7137451171875,0.014803588390350342,44.47923707962036,,6.756559014320374e-05,0.0,18816,-0.0010618362575769424,-0.0019259918481111526
327,1763260122.6544747,,128.0,,,,,44.74484872817993,128.0,,,19185,,
330,1763260122.8423524,0.5436004400253296,,0.00028847926296293736,1022.0,72.6475601196289,0.518237292766571,44.93272638320923,,5.7248398661613464e-06,0.0,19328,-0.0007752152159810066,0.00021082162857055664
332,1763260122.9568262,0.5978068709373474,,0.00028840245795436203,1023.0,109.71061706542969,0.5029547810554504,45.047200202941895,,0.00197712704539299,0.0,19456,0.0005977153778076172,-0.006470277905464172
337,1763260123.224926,,171.0,,,,,45.31529998779297,171.0,,,19838,,
340,1763260123.478079,,218.0,,,,,45.56845307350159,218.0,,,20056,,
370,1763260125.3058233,0.5805344581604004,,0.00028686635778285563,1030.0,166.8048095703125,0.09361922740936279,47.39619731903076,,5.6595541536808014e-05,0.0,22016,-0.0014390768483281136,0.0005775392055511475
396,1763260126.9971254,0.5865323543548584,,0.00028579108766280115,1032.0,20.5611572265625,0.9431682229042053,49.087499380111694,,0.00023870822042226791,0.0,23808,-0.0012278379872441292,-0.0069992393255233765
425,1763260129.0000856,0.5893328189849854,,0.0002844854025170207,1037.0,142.72047424316406,0.9348722696304321,51.09045958518982,,0.0019973507151007652,0.0,25984,0.011355751194059849,-0.014275314286351204
441,1763260130.0523086,0.5948411226272583,,0.0002837941574398428,1039.0,154.4794921875,0.87572181224823,52.14268255233765,,0.0008763661608099937,0.0,27136,0.008299189619719982,-0.0006930157542228699
450,1763260130.5126827,,138.0,,,,,52.60305666923523,138.0,,,27670,,
471,1763260132.153222,0.6061719059944153,,0.00028241166728548706,1043.0,250.78598022460938,-0.08793866634368896,54.24359607696533,,0.00011381134390830994,0.0,29440,-0.001034693792462349,-0.0021374188363552094
481,1763260132.8565412,0.6019988059997559,,0.00028195083723403513,1044.0,230.005126953125,6.324052810668945e-05,54.94691514968872,,0.0001411912962794304,0.0,30208,0.004919090308248997,-0.00015242397785186768
490,1763260133.6273136,0.5542604327201843,,0.00028156681219115853,1039.0,210.23240661621094,0.06225597858428955,55.71768760681152,,1.3057142496109009e-06,0.0,30848,-0.00027277134358882904,0.0004698224365711212
504,1763260134.6672668,,174.0,,,,,56.75764083862305,174.0,,,31803,,
515,1763260135.4998214,0.5939944982528687,,0.00028049154207110405,1034.0,173.85499572753906,0.02777421474456787,57.590195417404175,,2.0003877580165863e-05,0.0,32640,-0.0001366725191473961,-0.0029617995023727417
530,1763260136.5528662,0.5972238779067993,,0.00027980029699392617,1036.0,133.27146911621094,0.10480821132659912,58.643240213394165,,2.177618443965912e-05,0.0,33792,-0.002116311341524124,0.0032642632722854614
539,1763260137.2956839,,284.0,,,,,59.38605785369873,284.0,,,34669,,
547,1763260137.8200057,0.5242326855659485,,0.00027895544189959764,1039.0,426.4339599609375,0.19905275106430054,59.91037964820862,,0.00027726776897907257,0.0,35200,0.005655895918607712,-0.004957856610417366
555,1763260138.423697,0.5160523653030396,,0.00027857141685672104,1039.0,90.55496978759766,0.6452619433403015,60.514070987701416,,0.0005499524995684624,0.0,35840,0.0017846552655100822,0.0012773387134075165
559,1763260138.6635976,,197.0,,,,,60.753971576690674,197.0,,,36145,,
568,1763260139.3573964,0.5171921253204346,,0.0002779569767881185,1040.0,58.19742965698242,0.9205383062362671,61.44777035713196,,2.0976178348064423e-05,0.0,36864,-0.0030145039781928062,0.0026091542094945908
595,1763260141.2022576,,196.0,,,,,63.29263162612915,196.0,,,38946,,
612,1763260142.6073406,0.4375033676624298,,0.00027580646565183997,1046.0,139.74200439453125,-0.05534970760345459,64.69771456718445,,1.167692244052887e-05,0.0,40448,-0.0009514149278402328,0.00036984682083129883
614,1763260142.7206266,0.4649319052696228,,0.00027572966064326465,1046.0,20.423791885375977,0.9305955767631531,64.81100058555603,,0.0031256461516022682,0.005859375,40576,-0.016369983553886414,-0.0072703734040260315
630,1763260143.8774083,0.48162543773651123,,0.00027496161055751145,1048.0,69.60704803466797,0.8260623216629028,65.96778225898743,,0.00011602696031332016,0.0,41856,0.002104443497955799,-0.003542982041835785
636,1763260144.2304385,,158.0,,,,,66.32081246376038,158.0,,,42280,,
640,1763260144.6859066,0.4502137005329132,,0.0002744239754974842,1049.0,268.6175537109375,-2.866595983505249,66.77628064155579,,0.012651845812797546,0.0703125,42752,0.014126824215054512,0.05816938728094101
650,1763260145.3579612,0.46153897047042847,,0.0002739631454460323,1050.0,326.4408874511719,-1.291358470916748,67.44833517074585,,0.003747898153960705,0.005859375,43520,-0.01082382071763277,-0.0012196563184261322
664,1763260146.5283084,0.48558613657951355,,0.0002731950953602791,1052.0,178.14346313476562,0.6544603109359741,68.61868238449097,,3.679003566503525e-05,0.0,44800,-0.0019431756809353828,-7.146969437599182e-05
684,1763260148.2234569,0.5226109027862549,,0.0002720430202316493,1055.0,160.1946563720703,0.4818655252456665,70.31383085250854,,7.604435086250305e-05,0.0,46720,0.0006596148014068604,-0.0016036033630371094
689,1763260148.5873587,,103.0,,,,,70.67773270606995,103.0,,,47120,,
698,1763260149.3609462,0.5598508715629578,,0.0002712749701458961,1056.0,24.9075870513916,0.2881188988685608,71.4513201713562,,3.4496188163757324e-06,0.0,48000,0.00048031657934188843,-0.0006361771374940872
702,1763260149.6116345,0.5439830422401428,,0.00027112136012874544,1056.0,173.86898803710938,0.40474891662597656,71.70200848579407,,0.00015205144882202148,0.0,48256,0.002686982974410057,-0.009712638333439827
707,1763260149.9480605,0.5664790868759155,,0.0002708909451030195,1057.0,105.2905044555664,-0.7450008392333984,72.03843450546265,,6.864126771688461e-05,0.0,48640,0.002606612630188465,-0.002589995041489601
729,1763260151.432292,0.5782245993614197,,0.0002698924799915403,1059.0,682.4078369140625,-0.166914701461792,73.52266597747803,,1.8769875168800354e-05,0.0,50304,0.001214291900396347,9.898096323013306e-05
757,1763260153.4881773,0.5417014956474304,,0.00026858679484575987,1059.0,230.34498596191406,0.8442661762237549,75.57855129241943,,3.6621466279029846e-05,0.0,52480,0.00019736960530281067,0.0008160024881362915
762,1763260153.9192889,,222.0,,,,,76.00966286659241,222.0,,,52920,,
767,1763260154.4046953,0.5511184334754944,,0.0002680491597857326,1057.0,12.178356170654297,0.7834253311157227,76.4950692653656,,3.143586218357086e-05,0.0,53376,6.643682718276978e-05,-0.0029783621430397034
775,1763260155.0426404,,292.0,,,,,77.1330144405365,292.0,,,54107,,
788,1763260155.9135149,0.5417977571487427,,0.00026705069467425346,1059.0,69.43667602539062,0.661359429359436,78.00388884544373,,1.531653106212616e-05,0.0,55040,0.0008896347135305405,0.0012836232781410217
797,1763260156.5379386,,268.0,,,,,78.62831258773804,268.0,,,55742,,
806,1763260157.3350403,0.5881775617599487,,0.0002661290345713496,1059.0,107.90570068359375,-2.9581546783447266,79.42541432380676,,0.004757034592330456,0.0,56576,0.015981338918209076,-0.028368927538394928
815,1763260158.1543248,0.5636796951293945,,0.0002655913995113224,1060.0,175.7449493408203,0.519275426864624,80.24469876289368,,0.0003298996016383171,0.0,57472,-6.628502160310745e-05,-0.0018605180084705353
863,1763260161.8750021,,219.0,,,,,83.96537613868713,219.0,,,61652,,
872,1763260162.6715798,0.5792410373687744,,0.0002625960041768849,1063.0,20.147661209106445,0.243880033493042,84.761953830719,,0.00046986527740955353,0.0,62464,0.006167011335492134,-0.0029839929193258286
876,1763260163.0124066,0.5439800024032593,,0.00026236558915115893,1064.0,40.584678649902344,-0.12566018104553223,85.10278058052063,,4.871748387813568e-06,0.0,62848,-0.0006295787170529366,-0.0013815462589263916
922,1763260166.9536455,0.4909793734550476,,0.00025975421885959804,1066.0,832.8126831054688,0.24224936962127686,89.0440194606781,,4.9270689487457275e-05,0.0,67200,-0.0021764319390058517,0.0028229914605617523
930,1763260167.6562748,0.46103063225746155,,0.0002592933888081461,1066.0,443.7403564453125,-0.012785673141479492,89.74664878845215,,0.0003667660057544708,0.0,67968,0.005602993071079254,0.0038892924785614014
938,1763260168.2200952,0.5252460837364197,,0.0002589093637652695,1067.0,8.73479175567627,0.8192785978317261,90.31046915054321,,4.10713255405426e-07,0.0,68608,1.9886530935764313e-05,-0.00014986656606197357
941,1763260168.443948,0.5141637325286865,,0.0002587557537481189,1067.0,230.41229248046875,0.7343533039093018,90.53432202339172,,0.0003664391115307808,0.0,68864,0.0017623258754611015,-0.008125580847263336
942,1763260168.5913262,0.4947565197944641,,0.00025867894873954356,1067.0,105.56076049804688,-3.02164888381958,90.68170022964478,,2.070050686597824e-05,0.0,68992,-0.0005775345489382744,0.0009250789880752563
948,1763260169.0428603,0.5162754058837891,,0.0002583717287052423,1067.0,3.7338316440582275,0.8062199950218201,91.13323426246643,,2.6017427444458008e-05,0.0,69504,-0.000625094398856163,-0.0014163553714752197
974,1763260171.2397714,0.5054851174354553,,0.0002569124335423112,1068.0,434.0284729003906,0.36228448152542114,93.3301453590393,,7.055699825286865e-06,0.0,71936,-9.720213711261749e-05,-0.000566534698009491
980,1763260171.7246234,0.5076048970222473,,0.0002566052135080099,1068.0,893.8303833007812,0.38256728649139404,93.81499743461609,,5.2220188081264496e-05,0.0,72448,0.000928306020796299,-0.0017020255327224731
985,1763260172.1708,0.560140073299408,,0.00025629799347370863,1069.0,3.9391860961914062,0.4330555200576782,94.26117396354675,,8.100736886262894e-05,0.0,72960,-0.0023941220715641975,0.0017722062766551971
995,1763260173.0986874,0.4969036281108856,,0.00025568355340510607,1069.0,20.722530364990234,-3.049799919128418,95.18906140327454,,0.0007174462080001831,0.0,73984,0.0015807542949914932,-0.003372911363840103
997,1763260173.2117844,0.506565272808075,,0.00025560674839653075,1069.0,826.7632446289062,-0.004990696907043457,95.30215835571289,,2.4293549358844757e-05,0.0,74112,0.0006581516936421394,-0.0006948336958885193
1015,1763260174.8394463,0.5498929619789124,,0.00025453147827647626,1070.0,248.78024291992188,0.022511720657348633,96.92982029914856,,1.4129094779491425e-05,0.0,75904,0.0007107285782694817,7.351487874984741e-05
1020,1763260175.2864068,0.5148670673370361,,0.000254224258242175,1071.0,4.885084629058838,0.47861403226852417,97.37678074836731,,2.1826475858688354e-05,0.0,76416,-0.0011287610977888107,9.015575051307678e-05
1031,1763260176.2196188,,400.0,,,,,98.30999279022217,400.0,,,77477,,
1050,1763260177.5909266,,272.0,,,,,99.6813006401062,272.0,,,78985,,
1053,1763260177.8108559,0.5080291628837585,,0.00025253454805351794,1072.0,972.8511352539062,-0.015635132789611816,99.90122985839844,,0.0002068774774670601,0.0,79232,0.004290000535547733,-0.001270342618227005
1058,1763260178.2190142,,218.0,,,,,100.30938816070557,218.0,,,79716,,
1083,1763260180.0788462,,285.0,,,,,102.1692202091217,285.0,,,81733,,
1091,1763260180.7254024,0.5294825434684753,,0.0002506144519429654,1073.0,11.256814956665039,0.41951149702072144,102.81577634811401,,6.616488099098206e-05,0.0,82432,0.0017199553549289703,0.00038920342922210693
1106,1763260181.8789756,0.5232051610946655,,0.0002498464018572122,1074.0,3.9856956005096436,0.5636765956878662,103.96934962272644,,0.0002966988831758499,0.0,83712,0.0009595528244972229,-0.0026327036321163177
1118,1763260182.9229486,0.5540743470191956,,0.0002491551567800343,1074.0,1454.34375,0.07488077878952026,105.01332259178162,,0.0010113418102264404,0.0,84864,0.001546533778309822,-0.00785384327173233
1125,1763260183.5538516,,500.0,,,,,105.64422559738159,500.0,,,85631,,
1133,1763260184.3254428,0.48208388686180115,,0.00024823349667713046,1074.0,2.304680109024048,0.011150240898132324,106.41581678390503,,0.0002030506730079651,0.0,86400,0.002425936982035637,0.0013590678572654724
1145,1763260185.3596373,0.45388951897621155,,0.0002475422515999526,1075.0,2.9000840187072754,0.2137387990951538,107.45001125335693,,6.129499524831772e-05,0.0,87552,6.930623203516006e-05,0.0005423128604888916
1164,1763260186.9681175,0.4718777537345886,,0.0002464669814798981,1076.0,597.9829711914062,0.3960869312286377,109.05849146842957,,0.0011258628219366074,0.0,89344,0.0010232795029878616,-0.012741871178150177
1165,1763260187.0799978,0.5303194522857666,,0.0002463901764713228,1076.0,0.8763679265975952,0.23602747917175293,109.17037177085876,,5.791615694761276e-05,0.0,89472,-0.0009697740897536278,0.00038217008113861084
1172,1763260187.7772708,0.5741241574287415,,0.00024592934641987085,1076.0,0.4231216013431549,0.03242897987365723,109.86764478683472,,0.0001852894201874733,0.0,90240,0.002159358002245426,-0.002701573073863983
1181,1763260188.592764,0.4736921191215515,,0.0002453917113598436,1076.0,0.14638486504554749,0.2505049705505371,110.68313789367676,,8.001923561096191e-06,0.0,91136,0.0011673197150230408,-0.0002612043172121048
