global_step,losses/old_approx_kl,charts/learning_rate,losses/clipfrac,losses/policy_loss,_step,charts/episodic_length,losses/approx_kl,_runtime,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/explained_variance,charts/episodic_return
8704,0.0005586789920926094,0.00029485407867468894,0.0,-0.0005445629358291626,213,,1.9461847841739655e-05,48.74836277961731,371.0,70.37709045410156,1763260124.9023907,0.5989276766777039,0.07788914442062378,
8960,-0.00018248334527015686,0.0002947004686575383,0.0,-0.0003279242664575577,217,,2.8777867555618286e-06,49.23944139480591,374.0,132.00193786621094,1763260125.3934693,0.5872108936309814,-0.012176871299743652,
9596,,,,,228,52.0,,50.37924337387085,,,1763260126.5332713,,,52.0
9856,-0.009951715357601643,0.00029416283359751105,0.0,0.004803277552127838,233,,0.0009756246581673622,51.13753938674927,381.0,212.46917724609375,1763260127.2915673,0.599067211151123,0.11289066076278687,
10913,,,,,251,64.0,,53.27982831001282,,,1763260129.4338562,,,64.0
11382,,,,,259,97.0,,54.046313762664795,,,1763260130.2003417,,,97.0
11671,,,,,265,87.0,,54.87940788269043,,,1763260131.0334358,,,87.0
12083,,,,,273,74.0,,55.892712116241455,,,1763260132.04674,,,74.0
12160,-0.005459285341203213,0.0002927803434431553,0.0,0.005888048559427261,274,,0.00016662012785673141,56.13655710220337,394.0,133.5403289794922,1763260132.290585,0.5593051314353943,0.26091814041137695,
13184,-0.0017030974850058556,0.0002921659033745527,0.0,-0.00012986361980438232,292,,2.3827888071537018e-05,58.72581434249878,394.0,165.26255798339844,1763260134.8798423,0.600113570690155,0.20888161659240723,
15031,,,,,321,157.0,,63.60483169555664,,,1763260139.7588596,,,157.0
15326,,,,,327,133.0,,64.31467390060425,,,1763260140.4687018,,,133.0
15490,,,,,330,164.0,,64.84634375572205,,,1763260141.0003717,,,164.0
15616,-0.0001749955117702484,0.00029070660821162164,0.0,-0.0035562664270401,332,,3.501586616039276e-05,65.14369559288025,391.0,98.1200180053711,1763260141.2977235,0.572041928768158,0.3071771264076233,
15872,-0.0031203413382172585,0.000290552998194471,0.0,-0.002934511750936508,337,,0.00045514944940805435,65.7836503982544,392.0,77.39266204833984,1763260141.9376783,0.5839252471923828,0.25941890478134155,
16094,,,,,340,123.0,,66.10292458534241,,,1763260142.2569525,,,123.0
18304,0.00011420529335737228,0.0002890937030315399,0.0,-0.00046910345554351807,370,,1.941714435815811e-05,71.02258944511414,400.0,121.92378234863281,1763260147.1766174,0.5940260887145996,0.20361143350601196,
19891,,,,,396,100.0,,74.63969945907593,,,1763260150.7937274,,,100.0
21667,,,,,425,143.0,,78.79816055297852,,,1763260154.9521885,,,143.0
22784,0.0011185640469193459,0.0002864055277314037,0.0,-0.0014016516506671906,441,,0.00022167619317770004,81.28701901435852,406.0,198.44906616210938,1763260157.441047,0.5700408220291138,0.04054504632949829,
23424,0.0003348160535097122,0.0002860215026885271,0.0,-0.0006051510572433472,450,,7.716938853263855e-06,82.68383812904358,408.0,85.64291381835938,1763260158.837866,0.6052038073539734,0.45053553581237793,
24832,-0.004397118464112282,0.0002851766475941986,0.0,0.008404932916164398,471,,0.0010651499032974243,85.79953503608704,410.0,163.1229705810547,1763260161.953563,0.5694016814231873,0.7014551758766174,
25600,0.00928605068475008,0.00028471581754274666,0.0,-0.007617166265845299,481,,0.000895974226295948,87.40237736701965,412.0,65.24456024169922,1763260163.5564053,0.557483971118927,0.7030385732650757,
26240,-0.0029087429866194725,0.00028433179249987006,0.0,-0.00147203728556633,490,,4.711095243692398e-05,88.84198546409607,412.0,200.3162841796875,1763260164.9960134,0.5724546313285828,0.05950278043746948,
27207,,,,,504,173.0,,90.96775460243225,,,1763260167.1217825,,,173.0
27925,,,,,515,125.0,,92.66174411773682,,,1763260168.815772,,,125.0
28926,,,,,530,160.0,,94.81952166557312,,,1763260170.9735496,,,160.0
29440,-0.0016137603670358658,0.00028241166728548706,0.0,-0.0056221820414066315,539,,0.0006154607981443405,96.23973894119263,414.0,237.4435577392578,1763260172.3937669,0.5396410226821899,0.04520958662033081,
29952,0.00445153471082449,0.0002821044472511858,0.0,-0.0018691569566726685,547,,7.41938129067421e-05,97.40773844718933,415.0,24.821836471557617,1763260173.5617664,0.5515069365501404,0.835232138633728,
30464,-0.00021868757903575897,0.0002817972272168845,0.0,-0.0003644432872533798,555,,1.7136335372924805e-06,98.5641839504242,415.0,129.72427368164062,1763260174.718212,0.5728530883789062,0.5942161083221436,
30720,-0.00358789786696434,0.00028164361719973385,0.0,0.0007425248622894287,559,,7.324293255805969e-05,99.14928340911865,415.0,89.17147827148438,1763260175.3033113,0.5741374492645264,0.7985391616821289,
31360,-0.00647237803786993,0.00028125959215685725,0.0,0.0005054697394371033,568,,0.00027375388890504837,100.5326497554779,416.0,140.68161010742188,1763260176.6866777,0.5593708753585815,0.08776521682739258,
33674,,,,,595,250.0,,105.30542516708374,,,1763260181.459453,,,250.0
35072,0.005345936864614487,0.00027903224690817297,0.0,0.0053548067808151245,612,,0.0003157481551170349,108.24216532707214,422.0,174.66421508789062,1763260184.3961933,0.5430840253829956,0.14981704950332642,
35256,,,,,614,211.0,,108.53977990150452,,,1763260184.6938078,,,211.0
36480,-0.005382342264056206,0.00027818739181384444,0.0,0.0045935651287436485,630,,0.000446246936917305,111.2161500453949,424.0,214.0243377685547,1763260187.370178,0.5695862770080566,0.015550851821899414,
37120,0.0015279538929462433,0.00027780336677096784,0.0,-0.005761474370956421,636,,0.0004761703312397003,112.47909641265869,425.0,136.68617248535156,1763260188.6331244,0.6136715412139893,0.38018155097961426,
37376,0.0010288255289196968,0.0002776497567538172,0.0,-0.0008283406496047974,640,,2.1665357053279877e-05,113.07878994941711,425.0,33.06095886230469,1763260189.232818,0.5976911783218384,0.8344115018844604,
38272,-0.013233562931418419,0.00027711212169378996,0.0,-0.0021157674491405487,650,,0.0004928614944219589,114.85782265663147,427.0,135.67984008789062,1763260191.0118506,0.5739978551864624,0.0001882314682006836,
39680,0.0009876098483800888,0.00027626726659946144,0.0,-0.0018424540758132935,664,,2.7224421501159668e-05,117.71411323547363,429.0,138.89056396484375,1763260193.8681412,0.5485255122184753,-0.01822197437286377,
41472,0.002988872118294239,0.0002751920255832374,0.0,-0.0013182982802391052,684,,3.728736191987991e-05,121.53688025474548,430.0,31.35807991027832,1763260197.6909082,0.6009671688079834,0.8245559334754944,
41984,-0.003014151006937027,0.00027488480554893613,0.0,-0.002132980152964592,689,,0.00014197826385498047,122.56960582733154,431.0,96.58843994140625,1763260198.7236338,0.5831810235977173,-0.021494507789611816,
42624,-7.557030767202377e-05,0.00027450078050605953,0.0,-4.965066909790039e-05,698,,4.516914486885071e-07,124.02478814125061,431.0,112.79722595214844,1763260200.178816,0.599739670753479,-0.004671335220336914,
43008,0.008517855778336525,0.00027427036548033357,0.0,0.005480261519551277,702,,0.0007517952471971512,124.79416227340698,432.0,642.0338134765625,1763260200.9481902,0.519993007183075,0.0002931356430053711,
43520,0.0028932495042681694,0.0002739631454460323,0.0,-0.0063479989767074585,707,,0.00020216498523950577,125.81056642532349,432.0,586.2989501953125,1763260201.9645944,0.5809056162834167,0.006439208984375,
