losses/clipfrac,losses/entropy,losses/explained_variance,losses/policy_loss,_step,charts/learning_rate,global_step,charts/SPS,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,_runtime,_timestamp,losses/value_loss
,,,,370,,19216,,,,268.0,268.0,74.86632013320923,1763260153.3916812,
0.0,0.5800626277923584,0.27646178007125854,0.0016446113586425781,375,0.0002883256529457867,19584,476.0,0.0006455183029174805,0.0037990156561136246,,,75.53356432914734,1763260154.0589254,267.10650634765625
,,,,396,,21351,,,,76.0,76.0,78.4332377910614,1763260156.9585989,
0.0,0.6522364616394043,0.7075259685516357,0.0021268650889396667,425,0.0002859446976799518,23552,490.0,0.001905268058180809,0.0007517635822296143,,,82.3802604675293,1763260160.9056215,104.30469512939453
,,,,441,,24733,,,,46.0,46.0,84.41140031814575,1763260162.9367614,
0.0,0.5953132510185242,0.4163792133331299,-0.0023267120122909546,450,0.000284792622551322,25472,496.0,1.565832644701004e-05,0.0014263568446040154,,,85.68396878242493,1763260164.2093298,204.8908233642578
0.0,0.6201698184013367,0.5778101682662964,0.0032803788781166077,471,0.0002837941574398428,27136,501.0,0.00016409065574407578,-0.00422732625156641,,,88.47899627685547,1763260167.0043573,131.80235290527344
,,,,481,,27822,,,,61.0,61.0,89.67440891265869,1763260168.19977,
,,,,490,,28495,,,,93.0,93.0,90.79888987541199,1763260169.324251,
0.0,0.5939406752586365,-0.007498264312744141,-0.0033921990543603897,504,0.00028233486227691174,29568,506.0,6.654299795627594e-05,0.0019196141511201859,,,92.7779700756073,1763260171.3033311,244.56863403320312
0.0,0.6247411966323853,-0.04254722595214844,-0.00045637786388397217,515,0.0002817204222083092,30592,509.0,3.268662840127945e-05,0.0012459801509976387,,,94.50876784324646,1763260173.034129,230.07681274414062
0.0,0.6128339767456055,0.07155418395996094,-0.001183733344078064,530,0.0002811059821397066,31616,510.0,0.0001944117248058319,0.0033695921301841736,,,96.30887961387634,1763260174.8342407,296.50787353515625
0.0,0.5557827949523926,0.32602953910827637,0.0014272220432758331,539,0.0002806451520882547,32384,512.0,0.0003367234021425247,0.001738235354423523,368.0,368.0,97.62349247932434,1763260176.1488535,212.88922119140625
0.0,0.5951856374740601,0.007914900779724121,-0.002038896083831787,547,0.0002802611270453781,33024,513.0,4.2438507080078125e-05,0.0013774856925010681,,,98.72385025024414,1763260177.2492113,330.1331481933594
,,,,555,,33574,,,,88.0,88.0,99.6351330280304,1763260178.160494,
0.0,0.5711668133735657,0.022388041019439697,-0.0003148019313812256,559,0.00027980029699392617,33792,514.0,3.604218363761902e-06,0.00037578120827674866,,,100.10966777801514,1763260178.6350288,297.6181945800781
,,,,568,,34488,,,,500.0,500.0,101.20773959159851,1763260179.7331007,
,,,,595,,36899,,,,418.0,418.0,105.06285238265991,1763260183.5882134,
0.0,0.5619200468063354,0.009562909603118896,-0.00014828890562057495,612,0.0002769585116766393,38528,526.0,7.520429790019989e-06,0.00021995510905981064,,,107.59766864776611,1763260186.1230297,159.98153686523438
0.0,0.5164369344711304,0.6121785640716553,0.0001584179699420929,614,0.0002768049016594887,38784,527.0,0.00010035838931798935,0.0022756019607186317,,,107.97546195983887,1763260186.500823,57.52241134643555
0.0,0.6150279641151428,-0.00480496883392334,-0.005720935761928558,630,0.0002758832706604153,40320,530.0,0.0002789292484521866,0.007128501310944557,,,110.38164472579956,1763260188.9070058,124.97088623046875
0.0,0.5985905528068542,0.0036605000495910645,-0.0012920200824737549,636,0.00027572966064326465,40576,530.0,1.4591030776500702e-05,0.00037466641515493393,,,110.92172336578369,1763260189.4470844,679.4512939453125
,,,,640,,40846,,,,131.0,131.0,111.3803288936615,1763260189.90569,
0.0,0.5916208028793335,0.007809638977050781,-0.0037791356444358826,650,0.0002751152205746621,41600,531.0,1.5929341316223145e-05,-0.0004283171147108078,,,112.66330885887146,1763260191.18867,305.29278564453125
0.0,0.6015355587005615,0.0028163790702819824,0.0005478113889694214,664,0.00027450078050605953,42624,533.0,2.333894371986389e-06,-7.990747690200806e-05,,,114.35404300689697,1763260192.879404,485.1690979003906
,,,,684,,44115,,,,500.0,500.0,116.71997046470642,1763260195.2453315,
0.0,0.5896629691123962,0.01679939031600952,-0.0013176053762435913,689,0.00027342551038600504,44416,535.0,2.896226942539215e-05,-0.0002162586897611618,,,117.34012842178345,1763260195.8654895,509.7674865722656
0.0,0.6198160648345947,-0.008465409278869629,0.00014437735080718994,698,0.0002729646803345531,45184,536.0,3.043562173843384e-06,-9.06679779291153e-05,,,118.55848813056946,1763260197.0838492,119.54227447509766
,,,,702,,45392,,,,46.0,46.0,118.83796739578247,1763260197.3633285,
0.0,0.634762167930603,0.08461284637451172,-6.701052188873291e-05,707,0.0002725806552916765,45824,537.0,0.0002047428861260414,-0.0006599323824048042,,,119.59513521194458,1763260198.1204963,97.328369140625
,,,,729,,47562,,,,87.0,87.0,122.29067468643188,1763260200.8160357,
0.0,0.5998732447624207,0.008566081523895264,-0.0006690844893455505,757,0.00027004609000869095,50048,545.0,5.467794835567474e-06,0.00044110510498285294,,,126.18245649337769,1763260204.7078176,102.9875717163086
0.0,0.5627336502075195,-0.03303194046020508,5.8593228459358215e-05,762,0.00026973886997438967,50560,546.0,1.955777406692505e-07,1.4126300811767578e-05,,,126.9557557106018,1763260205.4811168,70.16432189941406
0.0,0.6131949424743652,0.04564327001571655,0.0015679821372032166,767,0.0002694316499400884,51072,547.0,2.6584602892398834e-05,-9.422842413187027e-05,,,127.70547795295715,1763260206.230839,85.17682647705078
,,,,775,,51862,,,,500.0,500.0,128.8365924358368,1763260207.3619535,
0.0,0.5739660859107971,0.032185494899749756,0.0006346069276332855,788,0.00026820276980288327,53120,551.0,1.355540007352829e-05,6.485451012849808e-05,,,130.75096201896667,1763260209.276323,75.84231567382812
0.0,0.6037503480911255,0.016771912574768066,-0.003640793263912201,797,0.00026774193975143135,53888,552.0,0.0009798333048820496,0.003944426774978638,,,131.91072058677673,1763260210.4360816,649.2305908203125
0.0,0.5736420750617981,0.11521399021148682,0.0019306689500808716,806,0.0002671274996828288,54912,554.0,0.0003474559634923935,-0.0003178231418132782,,,133.367684841156,1763260211.893046,63.552337646484375
0.0,0.5835458040237427,0.0463520884513855,0.005845315754413605,815,0.00026658986462280154,55808,556.0,0.00035972241312265396,0.000501447357237339,,,134.60985398292542,1763260213.135215,60.444698333740234
0.0,0.5941148400306702,0.0014327764511108398,-7.262080907821655e-05,863,0.0002637480793055147,60544,566.0,8.032657206058502e-06,0.0006407694891095161,,,141.37523198127747,1763260219.900593,39.02560806274414
0.0,0.5644782781600952,-0.0002543926239013672,-0.0006924048066139221,872,0.00026321044424548745,61440,567.0,0.0003795921802520752,0.005075894296169281,,,142.63768196105957,1763260221.163043,29.844547271728516
0.0,0.5967608094215393,0.005366146564483643,0.000729873776435852,876,0.0002629800292197615,61824,568.0,4.223547875881195e-06,-0.0009134979918599129,,,143.19944715499878,1763260221.7248082,31.11174201965332
,,,,922,,66417,,,,235.0,235.0,149.72610807418823,1763260228.2514691,
,,,,930,,67102,,,,500.0,500.0,150.8175597190857,1763260229.3429208,
0.0,0.5745403170585632,0.3483409285545349,-0.007266618311405182,938,0.0002592933888081461,67968,577.0,0.0009326441213488579,-0.009640867821872234,,,152.08165860176086,1763260230.6070197,20.83199119567871
0.0,0.5957248210906982,0.002950727939605713,0.000871017575263977,941,0.0002591397787909955,68224,578.0,1.0505318641662598e-05,0.0015245098620653152,,,152.4443542957306,1763260230.9697154,15.883488655090332
0.0,0.5326852798461914,0.07296347618103027,3.69437038898468e-05,942,0.00025906297378242016,68352,578.0,3.129243850708008e-07,5.291961133480072e-05,,,152.56650257110596,1763260231.0918636,15.629098892211914
,,,,948,,68945,,,,500.0,500.0,153.1610324382782,1763260231.6863935,
0.0,0.43723011016845703,0.0015192031860351562,-0.012082438915967941,974,0.00025714284856803715,71552,584.0,0.000684359110891819,0.011660273186862469,,,156.85781812667847,1763260235.3831792,442.56024169921875
0.0,0.5305102467536926,-0.02236640453338623,0.00023481622338294983,980,0.00025675882352516055,72192,585.0,0.00014268886297941208,0.0015794550999999046,,,157.73676896095276,1763260236.26213,6.315804481506348
,,,,985,,72654,,,,209.0,209.0,158.33157396316528,1763260236.856935,
,,,,995,,73654,,,,500.0,500.0,159.70901465415955,1763260238.2343757,
0.0,0.5200393795967102,0.013505518436431885,0.00013693422079086304,997,0.0002557603584136814,73856,587.0,1.3714656233787537e-05,0.0011201836168766022,,,160.0374138355255,1763260238.562775,4.897898197174072
,,,,1015,,75654,,,,500.0,500.0,162.5624601840973,1763260241.0878212,
0.0,0.5897476077079773,-0.0016847848892211914,-4.622340202331543e-05,1020,0.0002543778682593256,76160,591.0,0.00018571596592664719,-0.0028864508494734764,,,163.2668161392212,1763260241.7921772,1485.17529296875
0.0,0.5043918490409851,0.00015145540237426758,-0.00029378756880760193,1031,0.00025376342819072306,77184,592.0,1.3042241334915161e-05,0.0006310753524303436,,,164.71304178237915,1763260243.2384028,1206.1571044921875
0.0,0.5044072866439819,0.3200070858001709,-0.00035457685589790344,1050,0.00025261135306209326,79104,595.0,0.00013142451643943787,0.0019034892320632935,,,167.18234610557556,1763260245.7077072,1.2692556381225586
0.0,0.5595368146896362,-0.06072425842285156,0.0025645727291703224,1053,0.0002524577430449426,79360,595.0,9.376648813486099e-05,0.00035584811121225357,,,167.56513261795044,1763260246.0904937,0.27426308393478394
0.005859375,0.5210452079772949,0.07791930437088013,-0.004422619938850403,1058,0.0002521505521144718,79872,596.0,0.003609510138630867,0.018515821546316147,,,168.2961413860321,1763260246.8215024,0.024235054850578308
0.07421875,0.4574178457260132,-0.014580726623535156,-0.004477083683013916,1083,0.0002506144519429654,82432,599.0,0.012712409719824791,-0.021431799978017807,,,171.9636745452881,1763260250.4890356,0.0012206640094518661
0.0,0.4562506675720215,3.355741500854492e-05,-0.0028671398758888245,1091,0.00025015362189151347,83200,599.0,0.00027764681726694107,0.002223619259893894,,,173.10562109947205,1763260251.6309822,1373.756591796875
0.0,0.4502197504043579,0.317118763923645,0.0005267336964607239,1106,0.0002492319617886096,84736,601.0,1.4184042811393738e-06,4.1536055505275726e-05,,,175.25549244880676,1763260253.7808535,0.0006406953325495124
0.00390625,0.48077356815338135,0.24670648574829102,0.002904782071709633,1118,0.0002484639117028564,86016,603.0,0.00329766608774662,0.016522331163287163,,,176.96966457366943,1763260255.4950256,0.00016957275511231273
0.0,0.39883682131767273,0.0003731250762939453,0.0010390505194664001,1125,0.0002480798866599798,86656,604.0,0.00019435212016105652,0.002761879935860634,,,177.86295986175537,1763260256.388321,422.95892333984375
,,,,1133,,87534,,,,500.0,500.0,178.9101665019989,1763260257.4355276,
,,,,1145,,88693,,,,159.0,159.0,180.48705434799194,1763260259.0124154,
0.013671875,0.45956212282180786,0.5588434934616089,-0.029146932065486908,1164,0.0002457757364027202,90496,611.0,0.004577272571623325,0.007994993589818478,,,182.43254971504211,1763260260.9579108,380.6475524902344
0.00390625,0.41276758909225464,-2.328317403793335,-0.0034406352788209915,1165,0.0002456989313941449,90624,611.0,0.0014215577393770218,0.0019048266112804413,,,182.54318284988403,1763260261.068544,0.47410690784454346
0.0,0.45211607217788696,0.17863953113555908,-0.0036866292357444763,1172,0.0002453149063512683,91264,613.0,0.0003684321418404579,-0.0027773557230830193,,,183.12360382080078,1763260261.648965,0.013454601168632507
0.005859375,0.42213085293769836,-0.581098198890686,-0.014285344630479813,1181,0.00024477727129124105,92160,616.0,0.0031523331999778748,0.015012049116194248,,,183.90893292427063,1763260262.434294,0.00146091531496495
,,,,1186,,92642,,,,364.0,364.0,184.3086633682251,1763260262.8340244,
0.0,0.4864733815193176,0.11735278367996216,-0.014409147202968597,1197,0.0002438556111883372,93696,619.0,0.0006894618272781372,0.007430247962474823,,,185.69931554794312,1763260264.2246766,0.0019825075287371874
,,,,1213,,95355,,,,500.0,500.0,187.62633419036865,1763260266.1516953,
0.005859375,0.4608979821205139,-0.19559013843536377,-0.011502230539917946,1215,0.00024278034106828272,95488,622.0,0.0012920117005705833,0.010676058940589428,,,187.8960039615631,1763260266.421365,0.00375376851297915
0.0,0.5134574174880981,0.18360674381256104,-0.007593683898448944,1226,0.00024208909599110484,96640,623.0,0.00047903694212436676,0.008827762678265572,,,189.29952383041382,1763260267.824885,0.0012905684998258948
0.0,0.48408743739128113,-0.02803194522857666,-0.00293024443089962,1230,0.00024185868096537888,97024,624.0,0.0001372741535305977,0.005266116000711918,,,189.7814552783966,1763260268.3068163,0.0037745353765785694
0.00390625,0.48822221159935,-0.0005816221237182617,0.00033043883740901947,1234,0.00024162826593965292,97408,624.0,0.0018599266186356544,-0.008852784521877766,,,190.28238081932068,1763260268.8077419,1217.3802490234375
0.0,0.4754064679145813,-0.07932043075561523,-0.00272524356842041,1245,0.00024093702086247504,98560,626.0,0.00035444460809230804,-0.0052717626094818115,,,191.7095820903778,1763260270.2349432,0.005428111646324396
0.0,0.4142707586288452,0.0001233816146850586,0.003305494785308838,1254,0.0002403993858024478,99456,628.0,0.00034997425973415375,-0.0028437525033950806,,,192.72725796699524,1763260271.252619,699.9121704101562
0.0078125,0.5378484725952148,-8.034634590148926,0.0003300309181213379,1271,0.0002393241156823933,101248,633.0,0.0015116091817617416,0.009791316464543343,,,194.33963894844055,1763260272.865,0.00346966041252017
0.0,0.39884471893310547,0.6344153881072998,-0.0001445189118385315,1299,0.00023786482051946223,103680,638.0,7.612630724906921e-05,0.0023832228034734726,,,196.86488890647888,1763260275.39025,927.7897338867188
0.0,0.43631500005722046,-19.82239532470703,-0.0022996440529823303,1339,0.00023563747527077794,107392,641.0,0.0005415435880422592,-0.008282709866762161,,,201.70589089393616,1763260280.231252,0.038020506501197815
,,,,1340,,107434,,,,500.0,500.0,201.73757791519165,1763260280.262939,
0.0,0.4230489432811737,-5.496262550354004,-1.3787299394607544e-05,1349,0.00023502303520217538,108416,643.0,2.7681700885295868e-05,-0.0005040848627686501,,,202.9546594619751,1763260281.4800205,0.020294826477766037
,,,,1363,,109788,,,,458.0,458.0,204.64057755470276,1763260283.1659386,
0.0,0.41558077931404114,0.12766748666763306,-0.023643136024475098,1365,0.00023410138965118676,109952,644.0,0.0024169273674488068,0.012724386528134346,,,204.93059611320496,1763260283.4559572,0.023245787248015404
0.0,0.454323410987854,0.24177813529968262,-0.005162082612514496,1370,0.00023379416961688548,110464,646.0,0.00023330934345722198,0.0018164291977882385,,,205.38416361808777,1763260283.9095247,0.0069422940723598
0.0,0.4019838869571686,-6.095595836639404,-0.0053691137582063675,1380,0.00023317972954828292,111488,648.0,0.001214291900396347,-0.0039024539291858673,,,206.30465531349182,1763260284.8300164,0.16178806126117706
0.0,0.4465644061565399,-7.935234069824219,0.0004687756299972534,1381,0.0002331029245397076,111616,648.0,5.512125790119171e-05,-0.0006877798587083817,,,206.4152159690857,1763260284.940577,0.07052850723266602
0.0,0.4312881827354431,-0.0010595321655273438,0.00120573490858078,1388,0.000232718899496831,112256,650.0,0.00016730744391679764,-0.005588543601334095,,,207.00463271141052,1763260285.5299938,998.8006591796875
0.0,0.4604574739933014,-0.1533195972442627,-5.1841139793395996e-05,1395,0.00023225806944537908,113024,652.0,0.0001507950946688652,-0.0007313219830393791,,,207.698885679245,1763260286.2242467,0.0026685965713113546
0.0,0.4735269248485565,-4.051212310791016,-0.0008912980556488037,1399,0.00023202765441965312,113408,653.0,0.00011600926518440247,0.001218678429722786,,,208.0328562259674,1763260286.5582173,0.01914806477725506
0.0,0.38622525334358215,-35.80656433105469,-0.008032985031604767,1405,0.00023164362937677652,114048,654.0,0.0009707650169730186,0.012809437699615955,,,208.58478212356567,1763260287.1101432,0.0007178233354352415
0.0,0.46045631170272827,1.2576580047607422e-05,0.0030020885169506073,1432,0.0002300307241966948,116736,660.0,0.00016494933515787125,-0.001390974037349224,,,211.0229847431183,1763260289.5483458,1238.5228271484375
0.0,0.4267079830169678,-0.3766587972640991,-0.0020306557416915894,1433,0.00022995391918811947,116864,661.0,0.0005092518404126167,-0.0013309000059962273,,,211.13408255577087,1763260289.6594436,0.006261060945689678
,,,,1455,,119167,,,,500.0,500.0,213.6483907699585,1763260292.1737518,
0.0,0.4411735236644745,0.0006252527236938477,0.0008973516523838043,1456,0.0002285714290337637,119168,664.0,7.807370275259018e-05,0.0002039475366473198,,,213.78315043449402,1763260292.3085115,1518.00244140625
0.0,0.3697972595691681,0.19303643703460693,-0.0010321401059627533,1457,0.00022849462402518839,119296,664.0,0.00013649091124534607,0.0012370385229587555,,,213.9389832019806,1763260292.4643443,0.0071410913951694965
,,,,1514,,125167,,,,500.0,500.0,221.12528586387634,1763260299.650647,
0.0,0.4902098774909973,0.08793526887893677,0.0008288919925689697,1521,0.00022457756858784705,125824,670.0,0.00013378262519836426,0.0005006827414035797,,,222.03183674812317,1763260300.5571978,0.0047175162471830845
0.0,0.4532897472381592,-3.6716461181640625e-05,-0.00030647963285446167,1525,0.0002243471535621211,126208,670.0,0.0002446593716740608,-0.004413667134940624,,,222.50585985183716,1763260301.031221,1393.989013671875
0.0,0.5133710503578186,-0.6357297897338867,0.002111107110977173,1527,0.00022419354354497045,126464,671.0,0.0009024562314152718,0.004456217400729656,,,222.79753279685974,1763260301.3228939,0.0027363530825823545
,,,,1529,,126667,,,,500.0,500.0,222.9736316204071,1763260301.4989927,
,,,,1534,,127167,,,,500.0,500.0,223.5764513015747,1763260302.1018124,
0.0,0.5357490181922913,-0.1548933982849121,-0.025622934103012085,1536,0.0002236559084849432,127360,672.0,0.002360653132200241,-0.00783100537955761,,,223.858252286911,1763260302.3836133,0.007969765923917294
0.017578125,0.5148215293884277,-1.3803224563598633,-0.018924809992313385,1543,0.0002231950784334913,128128,673.0,0.005144365131855011,-0.004040507599711418,,,224.53316473960876,1763260303.0585258,0.00033536722185090184
0.0,0.5619471669197083,-6.556510925292969e-06,0.01138199120759964,1545,0.00022311827342491597,128256,674.0,0.0003060316666960716,-0.0029408400878310204,,,224.64656043052673,1763260303.1719215,981.3544921875
0.005859375,0.561672568321228,0.11472141742706299,-0.00440884567797184,1546,0.00022304146841634065,128384,674.0,0.0022297529503703117,-0.006645473651587963,,,224.77158212661743,1763260303.2969432,0.005679125431925058
0.005859375,0.47865694761276245,-2.242253303527832,-0.005988771095871925,1558,0.00022227341833058745,129664,676.0,0.0026625003665685654,0.0025143176317214966,,,225.94218516349792,1763260304.4675462,0.0005162498564459383
,,,,1559,,129667,,,,500.0,500.0,225.944433927536,1763260304.469795,
,,,,1563,,130167,,,,500.0,500.0,226.31578421592712,1763260304.8411453,
0.0,0.5112915635108948,0.07739436626434326,-0.002056121826171875,1566,0.00022181260283105075,130432,678.0,3.013014793395996e-05,-0.0014390312135219574,,,226.6096613407135,1763260305.1350224,0.0018275633919984102
,,,,1588,,132667,,,,500.0,500.0,228.59185552597046,1763260307.1172166,
0.0,0.5432947874069214,-1.9073486328125e-05,-0.0037882737815380096,1589,0.000220430112676695,132736,683.0,0.0001263897866010666,-0.0016149785369634628,,,228.68187165260315,1763260307.2072327,1615.31787109375
0.0,0.5303264856338501,0.12179231643676758,-0.002005215734243393,1597,0.00021989247761666775,133632,685.0,0.00027986709028482437,-0.003322671167552471,,,229.49044704437256,1763260308.015808,0.0002454954956192523
0.0,0.5412445068359375,0.17376530170440674,-7.159262895584106e-05,1607,0.00021927803754806519,134656,687.0,4.62997704744339e-05,0.005624333396553993,,,230.4134647846222,1763260308.9388258,0.0002466147707309574
0.0,0.5058352947235107,-9.763240814208984e-05,-0.003952406346797943,1609,0.00021920123253948987,134784,687.0,0.00029972847551107407,0.004757835529744625,,,230.52764701843262,1763260309.053008,687.68896484375
0.0,0.49089381098747253,-0.14238440990447998,-0.007604707032442093,1610,0.00021912442753091455,134912,687.0,0.0002429075539112091,0.00624345988035202,,,230.63731575012207,1763260309.1626768,0.00505715049803257
,,,,1612,,135167,,,,500.0,500.0,230.7893512248993,1763260309.3147123,
0.01171875,0.537023663520813,-0.003623485565185547,-0.02206314355134964,1626,0.00021812596241943538,136576,690.0,0.00574968196451664,0.0039628054946660995,,,232.14515590667725,1763260310.670517,0.0002768076374195516
0.0,0.4776270091533661,-4.2438507080078125e-05,-0.0025139376521110535,1638,0.0002174347173422575,137728,692.0,0.00017416663467884064,-0.002395687624812126,,,233.18031811714172,1763260311.7056792,1413.0872802734375
0.0,0.3878459334373474,3.057718276977539e-05,-0.004322532564401627,1687,0.00021443932200782,142720,702.0,0.0006991354748606682,0.010106216184794903,,,237.6996021270752,1763260316.2249632,1392.7174072265625
0.0,0.3393011689186096,0.26109611988067627,-0.0035421308130025864,1732,0.00021167434169910848,147328,706.0,0.00045542605221271515,-0.0027916375547647476,,,242.99585103988647,1763260321.521212,0.008917739614844322
,,,,1745,,148667,,,,500.0,500.0,244.5211272239685,1763260323.0464883,
0.0,0.4265373647212982,-0.06292688846588135,0.0006673336029052734,1753,0.00021036865655332804,149504,707.0,9.130686521530151e-06,0.002231210470199585,,,245.59631967544556,1763260324.1216807,0.0014610083308070898
0.001953125,0.3954955041408539,0.4842408299446106,-0.003178263083100319,1754,0.00021029185154475272,149632,708.0,0.0019372887909412384,-0.010387081652879715,,,245.74211263656616,1763260324.2674737,0.00014442522660829127
,,,,1765,,150667,,,,500.0,500.0,247.02159309387207,1763260325.5469542,
0.0,0.4419601559638977,-0.07867169380187988,-0.007052633911371231,1768,0.00020944701100233942,151040,708.0,0.0009240433573722839,-0.0034299474209547043,,,247.46877217292786,1763260325.9941332,0.001055875327438116
0.0,0.42832717299461365,-0.07519352436065674,-0.009961990639567375,1777,0.00020890937594231218,151936,709.0,0.00022835657000541687,0.0068088192492723465,,,248.42195343971252,1763260326.9473145,0.0013002511113882065
,,,,1818,,156048,,,,500.0,500.0,252.7478096485138,1763260331.2731707,
,,,,1823,,156548,,,,500.0,500.0,253.34506511688232,1763260331.8704262,
0.0,0.4073614478111267,0.02917647361755371,-0.005925260484218597,1851,0.0002043778804363683,159488,719.0,0.0010048365220427513,-0.007662779651582241,,,256.12740755081177,1763260334.6527686,0.00010296791879227385
0.0,0.35494449734687805,0.4704021215438843,-0.004439309239387512,1856,0.000204070660402067,160000,720.0,5.4051168262958527e-05,0.0023266756907105446,,,256.6053075790405,1763260335.1306686,0.00010041204222943634
0.0,0.3587113916873932,-0.597732663154602,-0.0031532607972621918,1868,0.00020337941532488912,161152,721.0,0.001682736910879612,0.005103547126054764,,,257.6400947570801,1763260336.1654558,0.006578042171895504
0.0,0.36407652497291565,0.1978321671485901,0.004911068826913834,1873,0.00020307219529058784,161664,722.0,0.000799763947725296,0.005428090691566467,,,258.0836398601532,1763260336.609001,0.0037148254923522472
0.0,0.4564799964427948,0.00043338537216186523,0.006794825196266174,1877,0.00020284178026486188,162048,723.0,0.00019613932818174362,0.00259274709969759,,,258.4165389537811,1763260336.9419,0.00019611410971265286
0.0,0.3648221790790558,-5.900859832763672e-05,0.0013025552034378052,1886,0.00020230414520483464,162944,724.0,0.00019186269491910934,0.010858486406505108,,,259.22468876838684,1763260337.7500498,1412.971923828125
,,,,1895,,163921,,,,500.0,500.0,260.0612292289734,1763260338.5865903,
0.0,0.39216870069503784,0.12321865558624268,0.004557028412818909,1903,0.00020122887508478016,164736,727.0,0.0017394116148352623,-0.00190045777708292,,,260.84239506721497,1763260339.3677561,0.0007833837880752981
0.0,0.37568604946136475,-1.1801719665527344e-05,-0.0007869862020015717,1906,0.00020107526506762952,164992,727.0,2.098921686410904e-05,0.00044663529843091965,,,261.16406083106995,1763260339.689422,1422.189453125
