_step,losses/entropy,_timestamp,charts/episodic_length,losses/explained_variance,charts/episodic_return,losses/approx_kl,_runtime,losses/policy_loss,losses/value_loss,losses/old_approx_kl,charts/SPS,charts/learning_rate,global_step,losses/clipfrac
340,0.5559156537055969,1763260153.4084318,,0.08210164308547974,,0.00042635761201381683,74.86204671859741,-0.0008117780089378357,303.2276306152344,0.004732990637421608,509.0,0.00028771121287718415,20608,0.0
370,0.5895282626152039,1763260157.563068,,0.3799128532409668,,0.00029090605676174164,79.01668286323547,0.0005743727087974548,109.70047760009766,-0.003995347768068314,516.0,0.00028625191771425307,23040,0.0
375,0.5405780076980591,1763260158.1992884,,0.3829445242881775,,0.0024553807452321053,79.65290331840515,-0.01324552297592163,178.60391235351562,0.009743059985339642,517.0,0.0002860215026885271,23424,0.0
396,,1763260161.0403073,195.0,,195.0,,82.49392223358154,,,,,,25094,
425,0.58311527967453,1763260165.1426797,,0.868224024772644,,0.00031658168882131577,86.59629464149475,0.0043605174869298935,76.13761901855469,-0.005322312004864216,527.0,0.00028356374241411686,27520,0.0
441,0.5374974012374878,1763260167.589154,,0.8354761600494385,,0.00021198298782110214,89.04276895523071,-0.003448542207479477,88.00312805175781,0.002655540592968464,531.0,0.000282642082311213,29056,0.0
450,0.5562031269073486,1763260168.8450956,,0.8495022654533386,,0.0009968448430299759,90.2987105846405,-0.0069039929658174515,40.061981201171875,0.00825812853872776,533.0,0.0002821812522597611,29824,0.0
471,,1763260171.880711,314.0,,314.0,,93.33432602882385,,,,,,31698,
481,0.5166133046150208,1763260173.462983,,0.9395145773887634,,0.0018696244806051254,94.91659784317017,0.009524993598461151,75.67522430419922,-0.00012583844363689423,539.0,0.00028049154207110405,32640,0.0
490,0.5416833162307739,1763260174.873219,,0.15503579378128052,,0.0015195617452263832,96.32683396339417,0.0011979937553405762,113.28131866455078,-0.0033066747710108757,541.0,0.0002799539070110768,33536,0.0
504,0.4730435609817505,1763260176.941442,,0.0664435625076294,,3.603100776672363e-05,98.39505696296692,-0.00034201517701148987,90.78575134277344,0.0012292247265577316,543.0,0.0002791858569253236,34816,0.0
515,,1763260178.6205878,322.0,,322.0,,100.0742027759552,,,,,,35908,
530,0.5630270838737488,1763260180.7098677,,0.10332268476486206,,7.298775017261505e-06,102.16348266601562,0.0009371191263198853,490.27825927734375,0.000272863544523716,547.0,0.00027780336677096784,37120,0.0
539,0.5385665893554688,1763260182.064481,,0.0061255693435668945,,1.5362165868282318e-05,103.51809597015381,5.90495765209198e-05,103.27816772460938,0.0001596221700310707,549.0,0.0002772657317109406,38016,0.0
547,0.571344256401062,1763260183.2655272,,0.007504820823669434,,1.8695369362831116e-05,104.71914219856262,0.0018141567707061768,92.8428726196289,-0.00042702630162239075,551.0,0.0002768049016594887,38784,0.0
555,0.5842655897140503,1763260184.4651802,,0.06899243593215942,,0.00014637503772974014,105.91879510879517,-0.006644591689109802,71.83750915527344,0.009295281954109669,552.0,0.00027634407160803676,39552,0.0
559,0.5055913925170898,1763260185.0483863,,-0.017581939697265625,,1.3399869203567505e-05,106.50200128555298,-0.0012181438505649567,86.71095275878906,0.0006507840007543564,553.0,0.00027611368568614125,39936,0.0
568,0.574037492275238,1763260186.4292696,,0.02269423007965088,,9.130407124757767e-05,107.88288450241089,-0.005605684593319893,77.62815856933594,0.00013059843331575394,555.0,0.000275576050626114,40832,0.0
595,0.5673730373382568,1763260190.5928147,,0.009403705596923828,,0.0001825755462050438,112.04642963409424,-0.003168366849422455,50.49128723144531,-0.0028768936172127724,560.0,0.0002739631454460323,43520,0.0
612,0.5187740325927734,1763260193.0930548,,9.387731552124023e-05,,0.00018798839300870895,114.5466697216034,-0.0039707571268081665,734.6129150390625,0.0009589111432433128,563.0,0.0002729646803345531,45184,0.0
614,,1763260193.3276665,314.0,,314.0,,114.78128147125244,,,,,,45430,
630,0.5861485004425049,1763260195.7148726,,0.022515952587127686,,4.2067840695381165e-06,117.16848754882812,7.507205009460449e-05,36.03804016113281,-6.272178143262863e-05,567.0,0.00027188941021449864,46976,0.0
636,,1763260196.5284562,266.0,,266.0,,117.98207116127014,,,,,,47536,
640,,1763260197.1109087,372.0,,372.0,,118.56452369689941,,,,,,47908,
650,,1763260198.631986,494.0,,494.0,,120.08560085296631,,,,,,48902,
664,0.5056094527244568,1763260200.583288,,0.14422398805618286,,3.597419708967209e-05,122.0369029045105,-0.0002917647361755371,16.89814567565918,0.0019927723333239555,572.0,0.00026996928500011563,50176,0.0
684,0.5089869499206543,1763260203.4609606,,-0.02589428424835205,,1.1952593922615051e-05,124.91457557678223,-0.0001811683177947998,18.426362991333008,0.0010542403906583786,575.0,0.00026881720987148583,52096,0.0
689,0.5492679476737976,1763260204.1836064,,0.13368290662765503,,0.004715258255600929,125.63722133636475,-9.113363921642303e-05,16.036962509155273,0.017622169107198715,576.0,0.00026850998983718455,52608,0.0
698,0.511114776134491,1763260205.485852,,0.01575559377670288,,0.0002211388200521469,126.93946695327759,-0.003350570797920227,10.321474075317383,-0.0008749105036258698,578.0,0.0002679723547771573,53504,0.0
702,0.49079272150993347,1763260206.0394638,,0.1834595799446106,,0.00034699495881795883,127.49307870864868,-0.007766991853713989,6.029212474822998,0.004252106882631779,578.0,0.00026774193975143135,53888,0.0
707,0.5736894011497498,1763260206.796586,,0.0013872385025024414,,4.8549845814704895e-06,128.25020098686218,-0.000872492790222168,10.569412231445312,0.0007521128281950951,579.0,0.00026743471971713006,54400,0.0
729,,1763260209.841876,500.0,,500.0,,131.29549098014832,,,,,,56500,
757,,1763260213.6573427,368.0,,368.0,,135.11095762252808,,,,,,59214,
762,0.5786933898925781,1763260214.3392465,,-0.16198158264160156,,2.614036202430725e-05,135.7928614616394,-0.001414179801940918,3.3035480976104736,-0.0004414264112710953,588.0,0.00026428571436554193,59648,0.0
767,,1763260214.9095175,395.0,,395.0,,136.36313247680664,,,,,,60134,
775,0.556195080280304,1763260216.039901,,-0.04033946990966797,,0.0002386830747127533,137.49351596832275,0.0023601483553647995,1.8864537477493286,0.0034089703112840652,590.0,0.00026351766427978873,60928,0.0
788,0.45388877391815186,1763260217.716459,,0.06661224365234375,,1.210533082485199e-05,139.17007398605347,0.0007079876959323883,1746.2911376953125,-0.0005604494363069534,592.0,0.00026282641920261085,62080,0.0
797,,1763260218.8402576,376.0,,376.0,,140.29387259483337,,,,,,62874,
806,0.5668656826019287,1763260220.070641,,-0.00020122528076171875,,8.30506905913353e-05,141.52425599098206,0.0004199370741844177,860.9610595703125,-0.0013464214280247688,594.0,0.0002618279540911317,63744,0.0
815,,1763260221.0605915,107.0,,107.0,,142.51420640945435,,,,,,64468,
863,,1763260227.2389796,500.0,,500.0,,148.69259452819824,,,,,,68698,
872,0.6050907373428345,1763260228.3443716,,-0.05173063278198242,,0.0008920049294829369,149.79798650741577,-0.004856415092945099,0.3081752061843872,0.014246479608118534,601.0,0.0002584485337138176,69376,0.0
876,0.5546610951423645,1763260228.8811152,,0.04013937711715698,,0.0006909966468811035,150.33473014831543,-0.008467286825180054,0.42544716596603394,0.0145424734801054,601.0,0.00025821811868809164,69760,0.0
916,0.500518262386322,1763260233.8645875,,0.04427945613861084,,1.0272487998008728e-05,155.31820249557495,0.0012030154466629028,1360.6925048828125,0.00023734569549560547,607.0,0.00025599077343940735,73472,0.0
922,0.547372043132782,1763260234.633641,,0.022196948528289795,,0.0004318961873650551,156.08725595474243,0.0016285339370369911,1610.1861572265625,0.0009713331237435341,607.0,0.00025568355340510607,73984,0.0
930,0.5178781747817993,1763260235.5960681,,0.19987094402313232,,0.0002252291887998581,157.04968309402466,0.002928953617811203,1247.4395751953125,0.001730332151055336,608.0,0.00025529952836222947,74624,0.0
938,0.5098439455032349,1763260236.6643813,,0.4608979821205139,,1.0691583156585693e-06,158.1179962158203,-0.0001141577959060669,19.18387222290039,0.00017059780657291412,609.0,0.00025483869831077754,75392,0.0
941,0.5600812435150146,1763260237.025644,,-0.2623041868209839,,0.00010975915938615799,158.47925901412964,-0.0023587998002767563,1063.5491943359375,-0.001330059953033924,609.0,0.0002546850882936269,75648,0.0
942,0.5047467947006226,1763260237.1702492,,0.5152992010116577,,0.00013451185077428818,158.62386417388916,-0.002456134185194969,64.8140640258789,-0.0005334289744496346,609.0,0.0002546082832850516,75776,0.0
948,0.5021655559539795,1763260237.917846,,0.14670330286026,,0.0005119824782013893,159.37146091461182,-0.006018195301294327,1438.02734375,0.005539226345717907,610.0,0.0002543010632507503,76288,0.0
974,,1763260241.4741173,500.0,,500.0,,162.9277322292328,,,,,,78888,
980,0.5685443878173828,1763260242.3776991,,-0.005428791046142578,,0.00026642903685569763,163.83131408691406,-0.0018322765827178955,745.1480712890625,-5.628354847431183e-05,614.0,0.0002523809380363673,79488,0.0
985,0.5162541270256042,1763260243.0713716,,0.003711879253387451,,5.37969172000885e-05,164.52498650550842,-0.004333101212978363,626.7955322265625,0.0015489421784877777,614.0,0.0002520737471058965,80000,0.0
995,0.505064070224762,1763260244.198216,,-11.514041900634766,,0.00015879981219768524,165.65183091163635,0.004851779900491238,1.3895195722579956,0.007156297564506531,617.0,0.0002514593070372939,81024,0.0
997,0.496273398399353,1763260244.507075,,0.5854591727256775,,0.00025696493685245514,165.9606900215149,-0.004744507372379303,0.04706962779164314,-0.0019337795674800873,617.0,0.00025130569702014327,81280,0.0
1015,,1763260246.8680303,500.0,,500.0,,168.32164525985718,,,,,,83070,
1020,,1763260247.6063092,500.0,,500.0,,169.0599241256714,,,,,,83570,
1031,0.5071946978569031,1763260249.1828492,,0.00044465065002441406,,0.0005124090239405632,170.63646411895752,0.000506257638335228,1667.7652587890625,0.002277565188705921,620.0,0.00024930876679718494,84608,0.0
1050,,1763260251.9082422,500.0,,500.0,,173.36185717582703,,,,,,86570,
1053,0.48897069692611694,1763260252.3912423,,-361.6973571777344,,0.001117725856602192,173.84485721588135,0.013327905908226967,1.852527141571045,0.004816924221813679,623.0,0.0002479262766428292,86912,0.0078125
1058,0.5401386618614197,1763260253.085464,,-16.030426025390625,,0.0028696218505501747,174.53907895088196,0.00345444492995739,0.039996854960918427,0.0022361846640706062,623.0,0.0002476190566085279,87424,0.015625
1083,0.5066257119178772,1763260256.5251105,,-0.7082186937332153,,0.00031903572380542755,177.9787254333496,-0.0002778954803943634,0.0001632698840694502,-0.0027694441378116608,626.0,0.0002460829564370215,89984,0.0
1091,0.5537048578262329,1763260257.5489707,,0.15817111730575562,,0.002518170513212681,179.00258564949036,0.011952362954616547,0.005344325676560402,-0.016416776925325394,627.0,0.00024562212638556957,90752,0.0
1106,0.5145912170410156,1763260259.5011907,,-2.5248494148254395,,0.00026662182062864304,180.9548056125641,-0.00290498323738575,0.003972140606492758,0.0016334103420376778,629.0,0.00024470046628266573,92288,0.0
1118,0.4916996955871582,1763260260.7988126,,-0.7466962337493896,,0.0009878017008304596,182.2524275779724,-0.0007217675447463989,0.0002034119243035093,0.01772400550544262,632.0,0.00024393241619691253,93568,0.001953125
1125,0.4728650748729706,1763260261.3647907,,0.10885632038116455,,0.0037431465461850166,182.81840562820435,-0.007364857941865921,0.006384153850376606,0.010351204313337803,634.0,0.00024354839115403593,94208,0.0078125
1133,0.514723539352417,1763260262.0740356,,-0.8746209144592285,,0.002588188275694847,183.5276505947113,-0.009776920080184937,0.009562890976667404,-0.0028468649834394455,636.0,0.000243087561102584,94976,0.001953125
1145,,1763260263.2895246,500.0,,500.0,,184.74313950538635,,,,,,96225,
1164,0.5144530534744263,1763260265.719175,,-0.2974212169647217,,0.0012274263426661491,187.1727900505066,0.00887942686676979,0.00017429093713872135,0.0023266011849045753,642.0,0.000241167435888201,98176,0.0
1165,,1763260265.7531683,500.0,,500.0,,187.20678329467773,,,,,,98225,
1172,0.514819860458374,1763260266.6760454,,0.19068390130996704,,0.0001925397664308548,188.1296603679657,-0.002196565270423889,0.006597810424864292,0.001971544697880745,643.0,0.00024070660583674908,98944,0.0
1181,0.48633939027786255,1763260267.795066,,0.0001538395881652832,,0.0010849693790078163,189.2486810684204,0.004097364842891693,124.56838989257812,0.01371817383915186,644.0,0.00024016897077672184,99840,0.0
1186,0.5197427272796631,1763260268.4379911,,0.00033861398696899414,,0.001812710426747799,189.891606092453,-0.006122764199972153,0.0003560861514415592,-0.0042833732441067696,645.0,0.00023986175074242055,100352,0.0
1197,0.4965593218803406,1763260269.841905,,-0.05495333671569824,,3.811996430158615e-05,191.29552006721497,-0.001604422926902771,0.0019226190634071827,-0.00022594723850488663,646.0,0.00023917050566524267,101504,0.0
1213,0.4675055742263794,1763260271.6817122,,-0.11723721027374268,,0.00043078232556581497,193.13532710075378,-0.009185776114463806,8.504897414240986e-05,0.0052587175741791725,649.0,0.0002381720405537635,103168,0.0
1215,0.46026358008384705,1763260271.7962132,,-4.982948303222656e-05,,0.00026105809956789017,193.24982810020447,0.0009702425450086594,1785.45654296875,0.0038064206019043922,650.0,0.0002380952355451882,103296,0.0
1226,0.4935309886932373,1763260272.8493474,,0.07947993278503418,,0.000545046292245388,194.30296230316162,0.004134118556976318,0.009695529006421566,-0.004001053981482983,653.0,0.0002374039904680103,104448,0.0
1230,0.4934116005897522,1763260273.228592,,-0.00033545494079589844,,4.0197744965553284e-05,194.68220686912537,-0.0014787595719099045,112.67333984375,-0.002041732892394066,654.0,0.00023717357544228435,104832,0.0
1234,,1763260273.5706866,500.0,,500.0,,195.02430152893066,,,,,,105225,
1245,0.4988580644130707,1763260274.7167208,,-0.014090418815612793,,3.0443072319030762e-05,196.17033576965332,0.0005150735378265381,0.005631799343973398,0.0024665985256433487,657.0,0.0002362519153393805,106368,0.0
1254,0.5314037203788757,1763260275.8547468,,-8.022785186767578e-05,,0.0004119453951716423,197.30836176872253,-0.0030374396592378616,1463.57470703125,0.0018632570281624794,658.0,0.00023571428027935326,107264,0.0
1271,0.498531699180603,1763260278.1565673,,-0.11539053916931152,,0.0005187066271901131,199.61018228530884,-0.004747619852423668,0.001638946239836514,0.0023958785459399223,660.0,0.00023463901015929878,109056,0.0
1299,0.4575693905353546,1763260281.6552951,,0.006079256534576416,,0.0015564663335680962,203.10891008377075,-0.014935463666915894,0.006817372981458902,0.006574925966560841,663.0,0.00023294931452255696,111872,0.0
1339,0.4404393136501312,1763260285.8394518,,0.27884340286254883,,0.0005530016496777534,207.293066740036,-0.008334727957844734,0.00428658677265048,0.003074374981224537,670.0,0.0002304915542481467,115968,0.001953125
1340,0.4305313527584076,1763260285.9842017,,0.21070653200149536,,0.004948597401380539,207.43781661987305,-0.004166319966316223,0.0012845337623730302,0.01228352077305317,670.0,0.0002304147492395714,116096,0.0078125
1349,0.4542076587677002,1763260286.7688355,,-0.026482582092285156,,0.00010425690561532974,208.22245049476624,0.0016626976430416107,0.001485661487095058,0.0025888821110129356,673.0,0.00022987711417954415,116992,0.0
1363,0.38039615750312805,1763260288.071435,,-0.10104250907897949,,0.00028203055262565613,209.52504992485046,-0.00013754889369010925,0.00798698142170906,0.0027705542743206024,676.0,0.00022903225908521563,118400,0.0
1365,0.48719266057014465,1763260288.2957556,,-0.2365795373916626,,0.00016257818788290024,209.74937057495117,0.0006850138306617737,0.00040181601070798934,0.008605054579675198,676.0,0.000228878649068065,118656,0.0
1370,0.3841468095779419,1763260288.7480779,,-0.9864380359649658,,0.0006635468453168869,210.20169281959534,-0.0054022520780563354,0.00024244374071713537,0.002977561205625534,677.0,0.0002285714290337637,119168,0.005859375
1380,0.49971306324005127,1763260289.6852129,,-0.8128341436386108,,0.0017609326168894768,211.13882780075073,-0.01657158136367798,0.0004601693945005536,-0.007975329644978046,680.0,0.00022795698896516114,120192,0.00390625
1381,,1763260289.69822,500.0,,500.0,,211.1518349647522,,,,,,120225,
1388,0.47520920634269714,1763260290.393342,,0.035160064697265625,,0.0005787843838334084,211.8469569683075,-0.004785098135471344,0.006626039743423462,0.0003451267257332802,681.0,0.00022749615891370922,120960,0.0
1395,,1763260291.3100379,500.0,,500.0,,212.76365280151367,,,,,,121725,
1399,0.5431554317474365,1763260291.8674605,,-0.2472693920135498,,0.0006916169077157974,213.32107543945312,-0.008244633674621582,0.00030424201395362616,0.006115404888987541,682.0,0.00022680491383653134,122112,0.0
1405,,1763260292.5920217,500.0,,500.0,,214.04563665390015,,,,,,122725,
1432,0.45420846343040466,1763260296.0471833,,0.4079885482788086,,0.0009582554921507835,217.50079822540283,-0.01969943195581436,0.00824609026312828,0.006504802964627743,685.0,0.00022480798361357301,125440,0.0
1433,0.4670991897583008,1763260296.191295,,0.1556294560432434,,0.0003633340820670128,217.6449098587036,0.005442336201667786,0.0023991719353944063,0.0015466650947928429,685.0,0.0002247311786049977,125568,0.0
1455,0.4983319044113159,1763260298.8966737,,-0.5097211599349976,,0.001467919908463955,220.35028862953186,0.005822792649269104,0.0038098378572613,-0.0072878217324614525,686.0,0.00022342549345921725,127744,0.0
1456,0.4522722065448761,1763260299.0396907,,-1.7361841201782227,,0.00036452896893024445,220.493305683136,-0.0017995089292526245,0.0007772850804030895,-0.005709784105420113,687.0,0.00022334868845064193,127872,0.0
1457,,1763260299.071556,500.0,,500.0,,220.52517104148865,,,,,,127883,
1514,0.3467649817466736,1763260304.7417316,,-3.0482177734375,,1.0993331670761108e-05,226.1953465938568,-0.0005981512367725372,0.1173141673207283,0.0005068797618150711,694.0,0.00022019969765096903,133120,0.0
1521,0.3653522729873657,1763260305.230769,,0.3048495650291443,,3.0603259801864624e-06,226.68438386917114,0.00023658573627471924,702.3895874023438,0.00021029077470302582,694.0,0.00021989247761666775,133632,0.0
1525,,1763260305.4858248,217.0,,217.0,,226.93943977355957,,,,,,133968,
1527,0.45365816354751587,1763260305.683896,,-0.475852370262146,,0.00046078115701675415,227.13751101493835,-0.004084806889295578,8.724234580993652,-0.002973753958940506,695.0,0.00021958525758236647,134144,0.0
1529,0.47569411993026733,1763260305.7990184,,0.11549651622772217,,0.0002696756273508072,227.25263333320618,-0.0015311464667320251,1627.494384765625,0.0040017981082201,696.0,0.00021950845257379115,134272,0.0
1534,0.41707760095596313,1763260306.1801643,,0.3679957389831543,,0.00010634493082761765,227.63377928733826,0.0003384239971637726,761.4696655273438,-0.00036075059324502945,696.0,0.00021927803754806519,134656,0.0
1536,,1763260306.3063533,232.0,,232.0,,227.75996828079224,,,,,,134818,
1543,0.3839808702468872,1763260306.9686885,,0.16671955585479736,,3.332551568746567e-05,228.42230343818665,-0.0015561282634735107,1.3786931037902832,0.0005243038758635521,698.0,0.00021874040248803794,135552,0.0
1545,0.38852161169052124,1763260307.0840938,,0.19547724723815918,,0.00012478604912757874,228.53770875930786,-0.0046900734305381775,1372.176513671875,0.003650100901722908,698.0,0.00021866359747946262,135680,0.0
1546,0.4070371985435486,1763260307.2305582,,-0.5181938409805298,,0.000970114953815937,228.68417310714722,-0.0020819474011659622,5.023856163024902,-0.003329058177769184,698.0,0.0002185867924708873,135808,0.0
1558,0.3021439015865326,1763260308.1373768,,0.28727418184280396,,0.0007334230467677116,229.59099173545837,0.003752872347831726,771.266845703125,-0.006722659803926945,700.0,0.00021797235240228474,136832,0.0078125
1559,0.37655651569366455,1763260308.2883356,,0.3952677249908447,,1.3645738363265991e-05,229.74195051193237,-0.0006688050925731659,12.773385047912598,-0.0003462359309196472,701.0,0.00021789554739370942,136960,0.0
1563,,1763260308.5382612,316.0,,316.0,,229.9918761253357,,,,,,137280,
1566,,1763260308.7507923,208.0,,208.0,,230.2044072151184,,,,,,137488,
1588,0.3694750964641571,1763260310.640994,,-0.23526978492736816,,6.35441392660141e-06,232.0946090221405,-0.0009338017553091049,1.0685397386550903,0.0008599618449807167,705.0,0.00021635944722220302,139520,0.0
1589,0.2975980043411255,1763260310.7556064,,0.24573493003845215,,2.8096139430999756e-05,232.20922136306763,-0.0009731203317642212,65.26444244384766,0.002038208767771721,705.0,0.0002162826422136277,139648,0.0
1597,0.343767374753952,1763260311.3529074,,0.34730035066604614,,0.00029231421649456024,232.80652236938477,0.0012640468776226044,1019.8397216796875,-0.004404257982969284,707.0,0.0002158986171707511,140288,0.0
1607,,1763260312.1712701,357.0,,357.0,,233.62488508224487,,,,,,141189,
1609,0.3571797013282776,1763260312.4279785,,-0.3906731605529785,,0.00012259557843208313,233.88159346580505,4.266202449798584e-05,2.3490443229675293,-0.0022033751010894775,708.0,0.0002152073720935732,141440,0.0
1610,,1763260312.4548388,325.0,,325.0,,233.90845370292664,,,,,,141514,
1612,0.3339086174964905,1763260312.6563263,,-0.05641508102416992,,0.0002424083650112152,234.10994124412537,0.002619408071041107,0.6251786351203918,0.002348925918340683,709.0,0.00021505376207642257,141696,0.0
1626,0.3760482668876648,1763260313.83325,,0.49376076459884644,,0.0006041638553142548,235.28686499595642,-0.0029300712049007416,702.1640014648438,0.0035736504942178726,711.0,0.00021428571199066937,142976,0.0
1638,0.4132586419582367,1763260314.892583,,0.20955222845077515,,3.486126661300659e-05,236.34619784355164,-0.0003769025206565857,1012.0831298828125,0.0007387213408946991,713.0,0.0002135944669134915,144128,0.0
1687,0.32126837968826294,1763260320.2340562,,-0.7208244800567627,,0.0002321731299161911,241.6876711845398,-0.008065961301326752,0.8271424770355225,0.001563042402267456,718.0,0.00021067587658762932,148992,0.0
1732,0.40400242805480957,1763260325.420367,,0.009009718894958496,,5.601905286312103e-06,246.87398195266724,-0.0006082579493522644,1383.27099609375,0.0015520593151450157,722.0,0.00020798771583940834,153472,0.0
1745,0.47624802589416504,1763260326.9665997,,-37.77775573730469,,0.0013790754601359367,248.42021465301514,-0.0014172568917274475,0.008858073502779007,0.0013056853786110878,723.0,0.00020714286074507982,154880,0.0
1753,0.4406925439834595,1763260327.6747682,,-205.528076171875,,0.0003482978790998459,249.12838315963745,-0.011589370667934418,0.06787694245576859,-0.00298505462706089,724.0,0.0002066820306936279,155648,0.0
1754,0.433403342962265,1763260327.787891,,-2.1989073753356934,,0.0038743196055293083,249.24150586128235,-0.011138951405882835,0.0038343656342476606,0.03056441619992256,725.0,0.00020660522568505257,155776,0.01171875
1765,0.4493809938430786,1763260328.978582,,0.025690793991088867,,0.002435099333524704,250.43219685554504,-0.01467101275920868,0.021388407796621323,0.010894732549786568,726.0,0.0002059139806078747,156928,0.00390625
1768,0.49396970868110657,1763260329.3413374,,-22.142013549804688,,0.0013297321274876595,250.79495239257812,-0.003841511905193329,0.0036344791296869516,0.009568286128342152,726.0,0.00020576037059072405,157184,0.0
1777,0.37714120745658875,1763260330.3863032,,0.12965178489685059,,0.001979759894311428,251.83991813659668,-0.004366528242826462,0.015407964587211609,0.025132037699222565,726.0,0.0002052227355306968,158080,0.00390625
1818,0.38454532623291016,1763260334.6648214,,-2.3476171493530273,,0.0015110168606042862,256.11843633651733,-0.006808575242757797,0.0026961821131408215,0.005931340157985687,731.0,0.00020268817024771124,162304,0.0
1823,0.4825044572353363,1763260335.1534114,,-2.1627156734466553,,0.0017515048384666443,256.60702633857727,-0.006870552897453308,0.0007321542361751199,0.019224191084504128,732.0,0.00020238095021340996,162816,0.0
