charts/SPS,global_step,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,charts/episodic_return,losses/clipfrac,_step,losses/approx_kl,losses/policy_loss,charts/learning_rate,losses/explained_variance,_runtime,losses/entropy
,0,,,1763260103.043821,,,,0,,,,,24.512739181518555,
72.0,128,63.520137786865234,8.695945143699646e-05,1763260114.6991434,29.0,29.0,0.0,7,3.382563591003418e-06,-0.0003290977329015732,0.0003000000142492354,-0.0007786750793457031,36.16806149482727,0.6931355595588684
188.0,640,35.89841842651367,0.005393257364630699,1763260116.3229349,,,0.0,33,0.0006890222430229187,-0.013462701812386513,0.0002996927942149341,0.0027381181716918945,37.791852951049805,0.690965473651886
,865,,,1763260116.8468423,54.0,54.0,,41,,,,,38.315760374069214,
,949,,,1763260117.2648962,10.0,10.0,,47,,,,,38.73381423950195,
,1405,,,1763260118.532087,50.0,50.0,,64,,,,,40.00100517272949,
,1689,,,1763260119.4148214,47.0,47.0,,74,,,,,40.88373947143555,
,1779,,,1763260119.5491693,49.0,49.0,,77,,,,,41.01808738708496,
,2227,,,1763260120.5904672,72.0,72.0,,88,,,,,42.05938529968262,
313.0,2816,205.7689666748047,-0.005073669366538525,1763260121.9140506,,,0.0,102,0.0001867702230811119,0.0015342459082603455,0.00029838710906915367,0.025516986846923828,43.38296866416931,0.5994859337806702
320.0,2944,358.15081787109375,0.0023886552080512047,1763260122.1286871,,,0.0,104,0.00015671644359827042,-0.004946378991007805,0.00029831030406057835,0.026047050952911377,43.59760522842407,0.6167324781417847
,4666,,,1763260124.9980702,17.0,17.0,,133,,,,,46.46698832511902,
,5500,,,1763260126.3365085,81.0,81.0,,147,,,,,47.805426597595215,
,5575,,,1763260126.5382228,75.0,75.0,,149,,,,,48.00714087486267,
408.0,5632,211.03099060058594,0.0012267958372831345,1763260126.7100136,,,0.0,150,1.7452985048294067e-05,-0.0010186359286308289,0.0002966973988804966,0.04536926746368408,48.17893171310425,0.55906742811203
412.0,5888,508.4583435058594,-0.0001203315332531929,1763260127.2259269,,,0.0,155,1.491047441959381e-06,0.0002767294645309448,0.000296543788863346,0.014747679233551025,48.69484496116638,0.6120625734329224
414.0,6016,238.95895385742188,0.0026921434327960014,1763260127.4511628,,,0.0,157,0.000469050370156765,-0.002949550747871399,0.00029646698385477066,0.12465375661849976,48.92008090019226,0.585939347743988
428.0,6912,192.48394775390625,0.0013793809339404106,1763260129.066961,,,0.0,172,0.00011931825429201126,0.0005739293992519379,0.0002959293487947434,0.16202205419540405,50.535879135131836,0.5547457337379456
440.0,8320,854.349853515625,0.0018218336626887321,1763260131.8334801,,,0.0,195,6.778258830308914e-05,-0.0015892349183559418,0.0002950844937004149,0.0002770423889160156,53.30239820480347,0.5653966665267944
445.0,8960,698.8348388671875,-0.001016027294099331,1763260133.042391,,,0.0,203,2.7243979275226593e-05,-0.0018458710983395576,0.0002947004686575383,-0.022982239723205566,54.5113091468811,0.5356356501579285
445.0,9600,282.2103576660156,0.0013805609196424484,1763260134.4749875,,,0.0,213,9.239837527275085e-05,-0.0014816038310527802,0.0002943164436146617,0.0323864221572876,55.94390559196472,0.5942323803901672
447.0,9984,681.769775390625,0.011610368266701698,1763260135.263334,,,0.005859375,217,0.0045141857117414474,-0.009484179317951202,0.00029408602858893573,-0.13773465156555176,56.73225212097168,0.5497079491615295
448.0,10752,182.5313262939453,-0.005964608862996101,1763260136.9220905,,,0.0,228,0.00040168873965740204,0.0006076395511627197,0.0002936251985374838,0.06653499603271484,58.391008615493774,0.5539252758026123
,11181,,,1763260137.6215262,212.0,212.0,,233,,,,,59.09044432640076,
458.0,12416,601.2699584960938,0.00018825195729732513,1763260140.008137,,,0.0,251,7.443130016326904e-06,0.0003747865557670593,0.00029262673342600465,0.005777239799499512,61.477055072784424,0.5644979476928711
461.0,12928,156.4456024169922,-0.0002970695495605469,1763260140.956239,,,0.0,259,3.026798367500305e-06,-0.0005337931215763092,0.00029231951339170337,0.03846859931945801,62.42515707015991,0.5779882669448853
,13321,,,1763260141.6811755,165.0,165.0,,265,,,,,63.15009355545044,
465.0,13824,428.5763854980469,-0.000505346804857254,1763260142.6442153,,,0.0,273,5.461089313030243e-05,-0.00024318695068359375,0.0002917818783316761,0.0025824904441833496,64.11313343048096,0.5634455680847168
,13888,,,1763260142.6859882,171.0,171.0,,274,,,,,64.15490627288818,
,15059,,,1763260144.7670612,126.0,126.0,,292,,,,,66.23597931861877,
482.0,17152,143.19834899902344,-0.00026069115847349167,1763260148.49915,,,0.0,321,1.0377727448940277e-05,-0.0022365152835845947,0.0002897849481087178,0.1821836233139038,69.96806812286377,0.5473050475120544
,17641,,,1763260149.232145,181.0,181.0,,327,,,,,70.70106315612793,
,17808,,,1763260149.6314754,167.0,167.0,,330,,,,,71.10039353370667,
485.0,17920,153.89654541015625,-0.0024025682359933853,1763260149.8772428,,,0.0,332,0.0005517899990081787,0.001843973994255066,0.0002893241180572659,0.2211400270462036,71.34616088867188,0.5675793290138245
487.0,18304,173.35809326171875,-0.004088042303919792,1763260150.5090287,,,0.0,337,0.0005049798637628555,0.0016260258853435516,0.0002890937030315399,0.2183161973953247,71.97794675827026,0.5746616721153259
,18524,,,1763260150.7961376,117.0,117.0,,340,,,,,72.2650556564331,
,20761,,,1763260154.6715052,151.0,151.0,,370,,,,,76.14042329788208,
499.0,22272,33.598114013671875,0.0019042985513806343,1763260157.5198984,,,0.0,396,0.00012781750410795212,-0.006955374032258987,0.000286712747765705,0.9221275448799133,78.98881649971008,0.5437355637550354
,24338,,,1763260161.0834126,195.0,195.0,,425,,,,,82.55233073234558,
,25433,,,1763260162.985011,167.0,167.0,,441,,,,,84.45392918586731,
509.0,26112,245.28744506835938,0.00013749580830335617,1763260164.2226253,,,0.0,450,4.355795681476593e-06,-0.001198403537273407,0.0002844085975084454,0.20010650157928467,85.69154334068298,0.5782126188278198
,27637,,,1763260166.7414725,137.0,137.0,,471,,,,,88.21039056777954,
,28444,,,1763260168.1645405,182.0,182.0,,481,,,,,89.63345861434937,
516.0,29184,129.90093994140625,0.008330613374710083,1763260169.4531782,,,0.0,490,0.0006734617054462433,-0.008288878947496414,0.0002825652773026377,0.6052756309509277,90.9220962524414,0.5396727323532104
519.0,30464,204.21128845214844,-0.002838333137333393,1763260171.5511653,,,0.0,504,3.822986036539078e-05,-0.002651423215866089,0.0002817972272168845,0.34217971563339233,93.0200834274292,0.5801210999488831
,31322,,,1763260172.9213073,267.0,267.0,,515,,,,,94.39022541046143,
524.0,32640,71.66172790527344,-0.0009087091311812401,1763260175.1430678,,,0.0,530,5.7884491980075836e-05,-0.0008320286870002747,0.00028049154207110405,0.47564053535461426,96.61198592185974,0.6040059328079224
,33339,,,1763260176.2522018,110.0,110.0,,539,,,,,97.72111988067627,
,33934,,,1763260177.3337579,90.0,90.0,,547,,,,,98.80267596244812,
527.0,34560,367.8449401855469,0.0010042870417237282,1763260178.406168,,,0.0,555,1.844950020313263e-06,6.167590618133545e-05,0.00027933946694247425,0.17796140909194946,99.87508606910706,0.6226747035980225
527.0,34816,654.5814819335938,-3.696698695421219e-05,1763260178.888925,,,0.0,559,1.3420358300209045e-06,0.00011682882905006409,0.0002791858569253236,0.14984196424484253,100.35784316062927,0.5843330025672913
529.0,35584,117.72049713134766,0.004232955165207386,1763260180.1491792,,,0.0,568,6.479676812887192e-05,-0.005472596734762192,0.0002787250268738717,0.09496772289276123,101.61809730529785,0.6169720888137817
532.0,37504,286.2737121582031,0.00026208534836769104,1763260183.4106889,,,0.0,595,2.553686499595642e-06,0.0004915948957204819,0.0002775729517452419,0.3223969340324402,104.87960696220398,0.6331517696380615
