_timestamp,_step,global_step,losses/clipfrac,charts/episodic_length,charts/SPS,charts/learning_rate,losses/explained_variance,_runtime,charts/episodic_return,losses/approx_kl,losses/entropy,losses/policy_loss,losses/value_loss,losses/old_approx_kl
1763260093.7814987,0,0,,,,,,24.258182764053345,,,,,,
1763260095.9546347,7,142,,32.0,,,,26.431318759918213,32.0,,,,,
1763260096.460528,33,710,,16.0,,,,26.937211990356445,16.0,,,,,
1763260096.6690958,41,896,0.0,,1000.0,0.00029953918419778347,0.004781603813171387,27.145779848098755,,0.0006846906617283821,0.67378169298172,0.003672342747449875,143.08522033691406,-0.012976882047951221
1763260096.7899299,47,1024,0.0,,1007.0,0.00029946237918920815,0.025250792503356934,27.266613960266113,,0.0009121391922235489,0.6664326190948486,-0.002517353743314743,65.27232360839844,0.003976816311478615
1763260097.2103326,64,1507,,34.0,,,,27.68701672554016,34.0,,,,,
1763260097.5230517,74,1792,0.0,,1024.0,0.00029900154913775623,-0.01852881908416748,27.999735832214355,,0.0002631712704896927,0.6402199268341064,-0.003028813749551773,259.9952697753906,0.0011307504028081894
1763260097.6386814,77,1920,0.0,,1029.0,0.0002989247441291809,0.03166764974594116,28.115365505218506,,0.0002549998462200165,0.6437315344810486,-0.0029496215283870697,677.89404296875,-0.0045642368495464325
1763260098.0198667,88,2409,,89.0,,,,28.496550798416138,89.0,,,,,
1763260098.690554,102,3072,0.0,,1053.0,0.000298233499052003,-0.0075904130935668945,29.167237997055054,,0.00018383096903562546,0.5949819087982178,-0.002602817490696907,224.42225646972656,-0.007261217571794987
1763260098.8039336,104,3200,0.0,,1055.0,0.0002981566940434277,0.015113234519958496,29.280617713928223,,0.0002873055636882782,0.5993646383285522,-0.002528158947825432,433.7593078613281,-0.0034677982330322266
1763260100.3283043,133,4902,,90.0,,,,30.804988384246826,90.0,,,,,
1763260100.9965484,147,5632,0.0,,1078.0,0.0002966973988804966,0.12514615058898926,31.47323250770569,,7.966533303260803e-05,0.5605265498161316,0.006029723212122917,304.5921325683594,-0.003694819286465645
1763260101.1072626,149,5760,0.0,,1079.0,0.0002966205938719213,0.08352786302566528,31.583946704864502,,8.021481335163116e-06,0.584769070148468,-0.0002390742301940918,368.7166748046875,0.0005733268335461617
1763260101.2388241,150,5888,0.0,,1077.0,0.000296543788863346,0.007058322429656982,31.715508222579956,,0.0010897191241383553,0.5638468265533447,-0.012397464364767075,732.7374267578125,0.0031460030004382133
1763260101.4641685,155,6144,0.0,,1079.0,0.00029639017884619534,0.1085129976272583,31.940852642059326,,1.4992430806159973e-05,0.5767038464546204,0.0010280981659889221,449.2427978515625,-0.0012564975768327713
1763260101.5770917,157,6272,0.0,,1080.0,0.00029631337383762,0.22325420379638672,32.053775787353516,,0.0005807308480143547,0.5510271787643433,0.00674651563167572,224.93157958984375,0.004707298241555691
1763260102.285334,172,7070,,101.0,,,,32.76201820373535,101.0,,,,,
1763260104.0201058,195,8859,,290.0,,,,34.49678993225098,290.0,,,,,
1763260104.8404062,203,9517,,90.0,,,,35.31709027290344,90.0,,,,,
1763260105.7014575,213,10368,0.0,,1044.0,0.00029385561356320977,0.18441832065582275,36.178141593933105,,0.00020304694771766663,0.5955173373222351,-0.003104574978351593,548.4765625,0.007713599130511284
1763260105.9716067,217,10691,,281.0,,,,36.44829082489014,281.0,,,,,
1763260106.7795892,228,11520,0.0,,1046.0,0.0002931643684860319,0.030047893524169922,37.25627326965332,,2.163555473089218e-05,0.569616436958313,0.0004292856901884079,740.7413330078125,-0.0016963770613074303
1763260107.2206504,233,12032,0.00390625,,1051.0,0.0002928571484517306,-0.0052258968353271484,37.69733452796936,,0.003677678294479847,0.5352941751480103,-0.0152386873960495,611.748779296875,-0.0037256507202982903
1763260108.4124086,251,13397,,149.0,,,,38.889092683792114,149.0,,,,,
1763260109.0923514,259,14080,0.0,,1057.0,0.0002916282683145255,0.006539344787597656,39.56903553009033,,3.748107701539993e-05,0.5510154366493225,-0.0014184433966875076,542.5484619140625,-0.0009850217029452324
1763260109.5634558,265,14592,0.0,,1058.0,0.0002913210482802242,0.022407472133636475,40.04013991355896,,2.1345913410186768e-06,0.5825769305229187,3.653392195701599e-05,599.2828369140625,9.741447865962982e-05
1763260110.076259,273,15107,,130.0,,,,40.552942991256714,130.0,,,,,
1763260110.105565,274,15151,,44.0,,,,40.5822491645813,44.0,,,,,
1763260111.490793,292,16499,,139.0,,,,41.96747708320618,139.0,,,,,
1763260113.6090987,321,18644,,158.0,,,,44.08578276634216,158.0,,,,,
1763260114.068819,327,19072,0.0,,1042.0,0.000288632872980088,0.39138907194137573,44.54550313949585,,0.0003399401903152466,0.6240730881690979,0.001826925203204155,91.03952026367188,-0.0034956876188516617
1763260114.2922142,330,19328,0.0,,1043.0,0.00028847926296293736,0.15761184692382812,44.768898248672485,,7.524807006120682e-05,0.6040151119232178,-0.0018175430595874786,383.92724609375,0.001302073709666729
1763260114.407118,332,19456,0.0,,1044.0,0.00028840245795436203,0.00991147756576538,44.88380217552185,,3.6973506212234497e-07,0.5284742116928101,-0.00015309080481529236,305.87542724609375,-0.00021434295922517776
1763260114.657918,337,19786,,179.0,,,,45.134602069854736,179.0,,,,,
1763260114.9019876,340,20005,,219.0,,,,45.378671646118164,219.0,,,,,
1763260116.8535948,370,22144,0.0,,1050.0,0.0002867895527742803,0.059551775455474854,47.3302788734436,,1.6963109374046326e-05,0.5347951650619507,0.0014650989323854446,307.79541015625,-0.0009806733578443527
